"DSSTox_RID","DSSTox_CID","DSSTox_Generic_SID","DSSTox_FileID","STRUCTURE_Formula","STRUCTURE_MolecularWeight","STRUCTURE_ChemicalType","STRUCTURE_TestedForm_DefinedOrganic","STRUCTURE_Shown","TestSubstance_ChemicalName","TestSubstance_CASRN","TestSubstance_Description","ChemicalNote","STRUCTURE_ChemicalName_IUPAC","STRUCTURE_SMILES","STRUCTURE_Parent_SMILES","STRUCTURE_InChI","STRUCTURE_InChIKey","StudyType","Endpoint","Species","ActivityOutcome_CPDBAS_Mutagenicity","TD50_Rat_mg","TD50_Rat_mmol","ActivityScore_CPDBAS_Rat","TD50_Rat_Note","TargetSites_Rat_Male","TargetSites_Rat_Female","TargetSites_Rat_BothSexes","ActivityOutcome_CPDBAS_Rat","TD50_Mouse_mg","TD50_Mouse_mmol","ActivityScore_CPDBAS_Mouse","TD50_Mouse_Note","TargetSites_Mouse_Male","TargetSites_Mouse_Female","TargetSites_Mouse_BothSexes","ActivityOutcome_CPDBAS_Mouse","TD50_Hamster_mg","TD50_Hamster_mmol","ActivityScore_CPDBAS_Hamster","TD50_Hamster_Note","TargetSites_Hamster_Male","TargetSites_Hamster_Female","TargetSites_Hamster_BothSexes","ActivityOutcome_CPDBAS_Hamster","TD50_Dog_mg","TargetSites_Dog","TD50_Rhesus_mg","TargetSites_Rhesus","TD50_Cynomolgus_mg","TargetSites_Cynomolgus","TD50_Dog_Primates_Note","ActivityOutcome_CPDBAS_Dog_Primates","ActivityOutcome_CPDBAS_SingleCellCall","ActivityOutcome_CPDBAS_MultiCellCall","ActivityOutcome_CPDBAS_MultiCellCall_Details","Note_CPDBAS","NTP_TechnicalReport","ChemicalPage_URL"
20001,1,20001,"1_CPDBAS_v5d","C11H9N3",183.2122,"defined organic","parent","tested chemical","A-alpha-C","26148-68-5","single chemical compound","blank","9H-pyrido[2,3-b]indol-2-amine","NC1C=CC2=C(N=1)NC3=CC=CC=C23","NC1C=CC2=C(N=1)NC3=CC=CC=C23","InChI=1/C11H9N3/c12-10-6-5-8-7-3-1-2-4-9(7)13-11(8)14-10/h1-6H,(H3,12,13,14)/f/h13H,12H2","FJTNLJLPLJDTRM-DXMPFREMCP","Carcinogenicity","TD50; Tumor Target Sites","mouse","active","blank","blank","blank","blank","blank","blank","blank","blank",49.8,0.272,35,"TD50 is harmonic mean of more than one positive test","liver; vascular system","liver; vascular system","blank","active","blank","blank","blank","blank","blank","blank","blank","blank","blank","blank","blank","blank","blank","blank","blank","blank","active","active","multisite active; multisex active","blank","blank","http://potency.berkeley.edu/chempages/A-alpha-C.html"
40770,10606,30606,"2_CPDBAS_v5d","C4H4KNO4S",201.2422,"defined organic","salt K","tested chemical","Acesulfame-K","55589-62-3","single chemical compound","parent [33665-90-6]","potassium 6-methyl-4-oxo-4H-1,2,3-oxathiazin-3-ide 2,2-dioxide","O=S([N-]C1=O)(OC(C)=C1)=O.[K+]","O=S(NC1=O)(OC(C)=C1)=O","InChI=1/C4H5NO4S.K/c1-3-2-4(6)5-10(7,8)9-3;/h2H,1H3,(H,5,6);/q;+1/p-1/fC4H4NO4S.K/q-1;m","WBZFUFAFFUEMEI-COHKJUPYCC","Carcinogenicity","TD50; Tumor Target Sites","mouse",,,,,,,,,,,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive","Mouse added v5a; chemical added v5a",,"http://potency.berkeley.edu/chempages/ACESULFAME-K.html"
20002,2,39224,"3_CPDBAS_v5d","C2H4O",44.0526,"defined organic","parent ","tested chemical","Acetaldehyde","75-07-0","single chemical compound",,"acetaldehyde","CC=O","CC=O","InChI=1/C2H4O/c1-2-3/h2H,1H3","IKHGUXGNUITLKF-UHFFFAOYAB","Carcinogenicity","TD50; Tumor Target Sites","rat; hamster","inactive",153,3.47,20,"TD50 is harmonic mean of more than one positive test","nasal cavity","nasal cavity",,"active",,,,,,,,,565,12.8,1,"TD50 is harmonic mean of more than one positive test","nasal cavity; oral cavity","oral cavity",,"active",,,,,,,,,"active","active","multisite active; multisex active; multispecies active",,,"http://potency.berkeley.edu/chempages/ACETALDEHYDE.html"
20003,3,39225,"4_CPDBAS_v5d","C4H8N2O",100.12,"defined organic","parent ","tested chemical","Acetaldehyde methylformylhydrazone","16568-02-8","single chemical compound",,"N'-[(1E)-ethylidene]-N-methylformic hydrazide","CC=NN(C)C=O","CC=NN(C)C=O","InChI=1/C4H8N2O/c1-3-5-6(2)4-7/h3-4H,1-2H3/b5-3+","IMAGWKUTFZRWSB-HWKANZROBR","Carcinogenicity","TD50; Tumor Target Sites","mouse","inactive",,,,,,,,,2.51,0.0251,46,"TD50 is harmonic mean of more than one positive test","lung; preputial gland","clitoral gland; lung; stomach",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active",,,"http://potency.berkeley.edu/chempages/ACETALDEHYDE%20METHYLFORMYLHYDRAZONE.html"
20004,4,20004,"5_CPDBAS_v5d","C2H5NO",59.0672,"defined organic","parent ","tested chemical","Acetaldoxime","107-29-9","single chemical compound",,"(1E)-acetaldehyde oxime","CC=NO","CC=NO","InChI=1/C2H5NO/c1-2-3-4/h2,4H,1H3/b3-2+","FZENGILVLUJGJX-NSCUHMNNBP","Carcinogenicity","TD50; Tumor Target Sites","rat","inactive",,,0,"no positive results","no positive results",,,"inactive",,,,,,,,,,,,,,,,,,,,,,,,,"inactive",,,,,"http://potency.berkeley.edu/chempages/ACETALDOXIME.html"
20005,5,20005,"6_CPDBAS_v5d","C2H5NO",59.0672,"defined organic","parent ","tested chemical","Acetamide","60-35-5","single chemical compound",,"acetamide","CC(=O)N","CC(=O)N","InChI=1/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)/f/h3H2","DLFVBJFMPXGRIB-ZZOWFUDICC","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",180,3.05,21,"TD50 is harmonic mean of more than one positive test","liver","liver",,"active",3010,51,9,,"hematopoietic system","no positive results",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active; multispecies active",,,"http://potency.berkeley.edu/chempages/ACETAMIDE.html"
20006,6,20006,"7_CPDBAS_v5d","C8H9NO2",151.1626,"defined organic","parent ","tested chemical","Acetaminophen","103-90-2","single chemical compound",,"N-(4-hydroxyphenyl)acetamide","C1(=CC=C(C=C1)O)NC(C)=O","C1(=CC=C(C=C1)O)NC(C)=O","InChI=1/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)/f/h9H","RZVAJINKPMORJF-BGGKNDAXCW","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",495,3.27,20,"TD50 is harmonic mean of more than one positive test","liver; urinary bladder","liver; urinary bladder",,"active",1620,10.7,17,"TD50 is harmonic mean of more than one positive test","liver","liver",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active; multispecies active",,"TR 394; final call in CPDB differs due to additional data","http://potency.berkeley.edu/chempages/ACETAMINOPHEN.html"
20007,7,20007,"8_CPDBAS_v5d","C15H20N2O4S",324.3953,"defined organic","parent ","tested chemical","Acetohexamide","968-81-0","single chemical compound",,"4-acetyl-N-[(cyclohexylamino)carbonyl]benzenesulfonamide","O=S(=O)(C1=CC=C(C=C1)C(=O)C)NC(=O)NC2CCCCC2","O=S(=O)(C1=CC=C(C=C1)C(=O)C)NC(=O)NC2CCCCC2","InChI=1/C15H20N2O4S/c1-11(18)12-7-9-14(10-8-12)22(20,21)17-15(19)16-13-5-3-2-4-6-13/h7-10,13H,2-6H2,1H3,(H2,16,17,19)/f/h16-17H","VGZSUPCWNCWDAN-XQMQJMAZCC","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive",,"TR 050","http://potency.berkeley.edu/chempages/ACETOHEXAMIDE.html"
20008,8,20008,"9_CPDBAS_v5d","C10H10N4O3S",266.274,"defined organic","parent ","tested chemical","Acetone[4-(5-nitro-2-furyl)-2-thiazolyl] hydrazone","18523-69-8","single chemical compound",,"propan-2-one [5-(5-nitrofuran-2-yl)-1,3-thiazol-2-yl]hydrazone","C(/C)(C)=N\NC1=NC=C(S1)C2=CC=C(O2)[N+](=O)[O-]","C(/C)(C)=N\NC1=NC=C(S1)C2=CC=C(O2)[N+](=O)[O-]","InChI=1/C10H10N4O3S/c1-6(2)12-13-10-11-5-8(18-10)7-3-4-9(17-7)14(15)16/h3-5H,1-2H3,(H,11,13)/f/h13H","CUWVNOSSZYUJAE-NDKGDYFDCK","Carcinogenicity","TD50; Tumor Target Sites","rat",,6.05,0.0227,43,,,"stomach",,"active",,,,,,,,,,,,,,,,,,,,,,,,,"active",,,,,"http://potency.berkeley.edu/chempages/ACETONE[4-(5-NITRO-2-FURYL)-2-THIAZOLYL]HYDRAZONE.html"
20009,9,20009,"10_CPDBAS_v5d","C2H3N",41.0519,"defined organic","parent ","tested chemical","Acetonitrile","75-05-8","single chemical compound",,"acetonitrile","CC#N","CC#N","InChI=1/C2H3N/c1-2-3/h1H3","WEVYAHXRMPXWCK-UHFFFAOYAJ","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive; multispecies inactive",,"TR 447","http://potency.berkeley.edu/chempages/ACETONITRILE.html"
20010,10,20010,"11_CPDBAS_v5d","C3H7NO",73.0938,"defined organic","parent ","tested chemical","Acetoxime","127-06-0","single chemical compound",,"propan-2-one oxime","CC(=NO)C","CC(=NO)C","InChI=1/C3H7NO/c1-3(2)4-5/h5H,1-2H3","PXAJQJMDEXJWFB-UHFFFAOYAK","Carcinogenicity","TD50; Tumor Target Sites","rat",,12.1,0.166,34,,"liver","no positive results",,"active",,,,,,,,,,,,,,,,,,,,,,,,,"active",,,,,"http://potency.berkeley.edu/chempages/ACETOXIME.html"
20011,11,39226,"12_CPDBAS_v5d","C12H12O4",220.2213,"defined organic","parent ","tested chemical","1'-Acetoxysafrole","34627-78-6","single chemical compound",,"1-(1,3-benzodioxol-5-yl)prop-2-en-1-yl acetate","O=C(C)OC(C2=CC1=C(C=C2)OCO1)C=C","O=C(C)OC(C2=CC1=C(C=C2)OCO1)C=C","InChI=1/C12H12O4/c1-3-10(16-8(2)13)9-4-5-11-12(6-9)15-7-14-11/h3-6,10H,1,7H2,2H3","TXUCQVJZBXYDKH-UHFFFAOYAY","Carcinogenicity","TD50; Tumor Target Sites","rat; mouse","active",25,0.114,35,"TD50 is harmonic mean of more than one positive test","stomach",,,"active",,,0,"no positive results","no positive results",,,"inactive",,,,,,,,,,,,,,,,,"active",,,,,"http://potency.berkeley.edu/chempages/1'-ACETOXYSAFROLE.html"
20012,12,20012,"13_CPDBAS_v5d","C9H12N2O2",180.206,"defined organic","parent ","tested chemical","N'-Acetyl-4-(hydroxymethyl) phenylhydrazine","65734-38-5","single chemical compound",,"N'-[4-(hydroxymethyl)phenyl]acetohydrazide","N(NC(C)=O)C1=CC=C(C=C1)CO","N(NC(C)=O)C1=CC=C(C=C1)CO","InChI=1/C9H12N2O2/c1-7(13)10-11-9-4-2-8(6-12)3-5-9/h2-5,11-12H,6H2,1H3,(H,10,13)/f/h10H","UFFJUAYKLIGSJF-KZFATGLACR","Carcinogenicity","TD50; Tumor Target Sites","mouse",,,,,,,,,,241,1.34,27,"TD50 is harmonic mean of more than one positive test","lung; vascular system","lung; vascular system",,"active",,,,,,,,,,,,,,,,,"active","active","multisite active; multisex active",,,"http://potency.berkeley.edu/chempages/N'-ACETYL-4-(HYDROXYMETHYL)PHENYLHYDRAZINE.html"
20013,13,20013,"14_CPDBAS_v5d","C8H9N3O2",179.178,"defined organic","parent ","tested chemical","1-Acetyl-2-isonicotinoylhydrazine","1078-38-2","single chemical compound",,"N'-acetylpyridine-4-carbohydrazide","N(NC(C)=O)C(C1=CC=NC=C1)=O","N(NC(C)=O)C(C1=CC=NC=C1)=O","InChI=1/C8H9N3O2/c1-6(12)10-11-8(13)7-2-4-9-5-3-7/h2-5H,1H3,(H,10,12)(H,11,13)/f/h10-11H","CVBGNAKQQUWBQV-PZWAIHAUCF","Carcinogenicity","TD50; Tumor Target Sites","mouse",,,,,,,,,,330,1.84,25,"TD50 is harmonic mean of more than one positive test","lung","lung",,"active",,,,,,,,,,,,,,,,,"active","active","multisex active",,,"http://potency.berkeley.edu/chempages/1-ACETYL-2-ISONICOTINOYLHYDRAZINE.html"
20014,14,20014,"15_CPDBAS_v5d","C8H8O4",168.1488,"defined organic","parent ","tested chemical","3-Acetyl-6-methyl-2,4-pyrandione","520-45-6","single chemical compound","tautomers","3-acetyl-6-methyl-2H-pyran-2,4(3H)-dione","O=C1C(C(=O)OC(=C1)C)C(=O)C","O=C1C(C(=O)OC(=C1)C)C(=O)C","InChI=1/C8H8O4/c1-4-3-6(10)7(5(2)9)8(11)12-4/h3,7H,1-2H3","PGRHXDWITVMQBC-UHFFFAOYAH","Carcinogenicity","TD50; Tumor Target Sites","mouse",,,,,,,,,,,,0,"no positive results","no positive results","no positive results",,"inactive",,,,,,,,,,,,,,,,,"inactive","inactive","multisex inactive",,,"http://potency.berkeley.edu/chempages/3-ACETYL-6-METHYL-2,4-PYRANDIONE.html"
20015,15,20015,"16_CPDBAS_v5d","C8H10N2O",150.1778,"defined organic","parent ","tested chemical","1-Acetyl-2-phenylhydrazine","114-83-0","single chemical compound",,"N'-phenylacetohydrazide","C1(NNC(C)=O)=CC=CC=C1","C1(NNC(C)=O)=CC=CC=C1","InChI=1/C8H10N2O/c1-7(11)9-10-8-5-3-2-4-6-8/h2-6,10H,1H3,(H,9,11)/f/h9H","UICBCXONCUFSOI-BGGKNDAXCP","Carcinogenicity","TD50; Tumor Target Sites","mouse","active",,,,,,,,,51.2,0.341,34,"TD50 is harmonic mean of more than one positive test","vascular system","vascular system",,"active",,,,,,,,,,,,,,,,,"active","active","multisex active",,,"http://potency.berkeley.edu/chempages/1-ACETYL-2-PHENYLHYDRAZINE.html"
20016,16,39243,"17_CPDBAS_v5d","C14H13NO",211.2628,"defined organic","parent ","tested chemical","4-Acetylaminobiphenyl","4075-79-0","single chemical compound",,"N-biphenyl-4-ylacetamide","CC(=O)NC1=CC=C(C=C1)C2=CC=CC=C2","CC(=O)NC1=CC=C(C=C1)C2=CC=CC=C2","InChI=1/C14H13NO/c1-11(16)15-14-9-7-13(8-10-14)12-5-3-2-4-6-12/h2-10H,1H3,(H,15,16)/f/h15H","SVLDILRDQOVJED-YAQRNVERCM","Carcinogenicity","TD50; Tumor Target Sites","rat",,1.18,0.00559,49,,,"mammary gland",,"active",,,,,,,,,,,,,,,,,,,,,,,,,"active",,,,,"http://potency.berkeley.edu/chempages/4-ACETYLAMINOBIPHENYL.html"
