"MLE","MEAN","BBRC"
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
63,63,63
