"MLE","MEAN","BBRC"
18,19,
21,22,
29,35,
39,48,
42,60,
18,29,
45,56,
50,56,
38,46,
22,22,
13,16,
8,17,
9,19,
34,26,
11,46,
11,33,
23,24,
19,21,
31,32,
10,12,
10,19,
15,17,
12,13,
17,21,
18,27,
9,25,
18,43,
20,32,
36,36,
29,37,
35,29,
40,36,
29,36,
17,14,
21,24,
43,21,
38,22,
26,20,
5,15,
21,25,
9,26,
22,24,
27,33,
11,18,
19,22,
18,30,
12,27,
10,36,
12,22,
36,39,
25,54,
25,31,
11,16,
16,32,
38,46,
22,27,
26,37,
31,34,
8,11,
36,53,
45,51,
15,23,
12,11,
45,50,
12,18,
22,29,
19,50,
27,37,
42,48,
17,31,
18,22,
27,28,
6,10,
28,32,
38,24,
18,48,
16,22,
18,20,
16,41,
30,31,
20,25,
16,22,
29,13,
35,51,
14,21,
31,45,
18,37,
21,33,
31,23,
46,56,
18,13,
31,34,
16,20,
17,22,
33,38,
28,10,
39,45,
48,20,
16,38,
46,46,
