"MLE","MEAN","BBRC"
516,474,
629,629,
474,474,
1435,1435,
960,960,
967,967,
846,846,
1308,1308,
1023,1023,
397,397,
363,364,
492,492,
447,461,
1308,789,
326,981,
361,1252,
1243,855,
1082,862,
1084,825,
461,461,
476,440,
460,435,
1342,479,
443,443,
380,1218,
690,1121,
477,1257,
801,1216,
1001,475,
829,865,
1152,719,
1118,760,
505,505,
1318,802,
1698,509,
964,385,
1120,414,
976,467,
421,421,
443,482,
603,1355,
657,657,
349,349,
491,491,
414,414,
739,1253,
538,873,
481,1347,
365,406,
495,495,
533,957,
1269,706,
493,493,
740,1207,
3485,3485,
1351,1351,
420,608,
1096,1096,
414,420,
682,1205,
1353,1353,
363,363,
424,424,
549,696,
813,813,
374,374,
426,1190,
1140,1140,
929,929,
683,1372,
456,375,
1102,1102,
466,466,
456,456,
1430,720,
411,1298,
363,385,
417,417,
465,1100,
990,620,
1287,1287,
1104,1104,
1064,436,
1186,1186,
712,1405,
1027,1027,
585,1069,
815,815,
1037,584,
1267,1267,
1448,411,
464,464,
452,399,
798,798,
356,349,
1753,557,
446,446,
1103,392,
560,1270,
1366,1366,
