"MLE","MEAN","BBRC"
2017,2018,2029
2024,2018,2019
2022,2021,2013
2021,2021,2026
2019,2021,2023
2026,2026,2012
2025,2025,2027
2021,2021,2027
2023,2026,2030
2018,2018,2009
2023,2023,2026
2025,2025,2018
2027,2027,2030
2023,1997,2024
2023,2021,2025
2022,2022,2029
2019,2019,2019
2025,2025,2029
2019,2019,2005
2017,2017,2024
2028,2026,2030
2023,2009,2018
2015,2015,2021
2024,2014,2029
2023,2023,2015
2024,2024,2029
2025,2006,2014
2027,2023,2029
2022,2012,2023
2025,2025,2027
2026,2027,2027
2023,2021,2028
2023,2022,2012
2021,2019,2025
2023,2017,2026
2022,2020,2030
2023,2023,2030
2025,2024,2024
2021,2020,2009
2018,2003,2007
2028,2025,2030
2021,2012,2026
2017,2017,2026
2026,2025,2032
2022,2022,2024
2024,2024,2024
2026,2026,2028
2024,2022,2025
2018,2018,2008
2024,2025,2029
2026,2026,2030
2021,2010,2017
2020,2020,2023
2021,2021,2028
2010,2010,1988
2012,2012,2005
2024,2024,2030
2025,2025,2028
2025,2025,2026
2021,2021,2008
2020,2020,2031
2019,2018,2027
2024,2024,2019
2016,2014,2028
2023,2023,2026
2019,2018,2029
2022,2018,2027
2020,2020,2026
2025,2023,2027
2021,2021,2025
2024,2022,2029
2021,2021,2023
2026,2022,2026
2021,2015,2028
2027,2027,2027
2024,2016,2028
2023,2015,2027
2022,2022,2026
2023,2014,2014
2019,2019,2024
2026,2026,2017
2027,2027,2027
2025,2025,2029
2024,2024,2024
2022,2022,2026
2021,2021,2028
2024,2021,2028
2026,2016,2025
2018,2018,2020
2024,2021,2030
2022,2020,2017
2028,2028,2033
2012,2005,2016
2021,2021,2017
2025,2023,2017
2022,2022,2027
2021,2021,2009
2023,2021,2026
2022,2022,2023
2022,2022,2009
