"MLE","MEAN","BBRC"
287,284,314
332,328,294
307,296,317
264,256,261
202,302,276
326,315,299
285,274,287
312,306,290
244,236,246
340,338,313
300,287,318
354,344,348
361,352,362
271,265,298
389,382,365
342,338,299
280,272,254
278,274,293
298,293,285
303,300,282
381,354,391
337,326,294
338,324,319
372,360,363
291,285,301
348,346,336
316,304,319
327,321,321
321,310,289
260,253,208
278,275,269
286,281,299
246,299,328
432,423,402
361,345,389
298,295,322
259,252,261
336,329,286
336,326,295
321,314,324
337,327,278
329,323,310
278,266,324
409,402,410
297,287,296
304,300,303
294,284,265
293,273,265
409,394,393
367,359,379
264,254,264
356,345,332
393,384,358
313,307,296
197,195,177
259,254,249
294,288,315
256,253,247
407,400,411
278,274,303
296,290,346
290,280,330
392,390,330
353,345,380
327,323,312
321,310,285
286,274,302
263,253,274
260,254,253
274,272,278
390,374,404
316,315,277
351,345,341
324,314,343
335,332,327
317,311,324
415,406,385
339,334,365
319,309,297
400,394,350
301,296,292
305,299,268
342,336,332
274,258,272
291,290,278
282,268,261
320,307,273
407,393,374
314,308,316
218,208,219
280,277,273
321,318,282
431,413,392
321,314,332
371,358,356
396,393,386
388,382,354
346,338,331
304,294,280
248,248,252
