"MLE","MEAN","BBRC"
0.0062934647,0.0027035953,0.2862216981
0.2081394969,0.2717609046,0.349404878
0.1278034368,0.1290016406,0.2746798246
0.4427018371,0.4272877693,0.2450395833
0.011027125,0.0456547617,0.3967669903
0.0120874954,0.0070252919,0.2238420455
0.1742417179,0.2400395772,0.4822639344
0.0061165769,0.0320643637,0.3336197183
0.1071827838,0.0856187788,0.2917567797
0.0140641586,0.0415789638,0.1087763636
0.2610594712,0.2980121888,0.4586554545
0.2282467805,0.2301173639,0.3527317073
0.1803983694,0.2174391093,0.4628980952
0.0463157992,0.0388651658,0.1800535714
0.0547771535,0.0544306369,0.3010379747
0.2453906987,0.1914775677,0.4235206897
0.119974113,0.170748912,0.3046535354
0.1083661228,0.1578149701,0.3655491228
0.0445846922,0.087580281,0.2485326531
0.1056503898,0.1606103064,0.2578122449
0.1463790993,0.1866669412,0.3081793814
0.0969962871,0.0784108898,0.2548387097
0.3313644272,0.3443306051,0.4112169492
0.025659475,0.0620965703,0.2275504762
0.199661449,0.1854896331,0.3765675926
0.1041614874,0.1479726717,0.2356079545
0.0112901707,0.0114396113,0.1927645161
0.1262256914,0.1277263291,0.2704218391
0.0812873501,0.0827923658,0.3697754717
0.0147840678,0.0549368034,0.14700125
0.1599446002,0.2067102929,0.3860402778
0.3298732887,0.4265924143,0.479172619
0.0376972642,0.1206655604,0.2358511905
0.0420452947,0.1388217646,0.2028258065
0.2149696252,0.261089033,0.325280303
0.0157402722,0.0113067081,0.2752708861
0.0138424807,0.0807815111,0.4293901639
0.3292072667,0.3280700895,0.3485141304
0.0103289174,0.0765496001,0.297027619
0.2079089954,0.2654015426,0.3250097826
0.0114668416,0.0515617093,0.255425
0.0708510103,0.1015789149,0.1838246914
0.0246761836,0.0770749547,0.1668131579
0.1127331984,0.0428148944,0.2407671875
0.0119105627,0.0851138095,0.1701447368
0.154388536,0.138276049,0.2785091954
0.1040904753,0.0641534254,0.3060740741
0.1024016381,0.1083199209,0.2352376238
0.014678497,0.1156581927,0.230708547
0.0737215393,0.1389933464,0.311022973
0.2422036499,0.3642679888,0.3560717949
0.0934109718,0.1909989439,0.4709107143
0.0294945461,0.1138758201,0.3275238095
0.348276445,0.3696359199,0.328572381
0.0940416493,0.2068173953,0.328572381
0.1014518586,0.1307798304,0.2697349515
0.1944746542,0.1998641356,0.3260333333
0.008137494,0.0071461833,0.1663226667
0.0385173096,0.0755935169,0.2992981651
0.2338808156,0.3135653175,0.4624320988
0.0533501069,0.090388315,0.4426816667
0.0128218604,0.0799847857,0.2286632911
0.0795737318,0.1696462549,0.3956443396
0.2376034757,0.1920497861,0.2884549296
0.0054557408,0.0072443063,0.163567
0.0121721111,0.0315167719,0.1477627907
0.0361000404,0.0345115973,0.3367658228
0.0074442018,0.0944426049,0.2769133333
0.2490940301,0.1871299554,0.2597725275
0.1600955418,0.2038691003,0.2617954128
0.0354395051,0.0526131055,0.1661318182
0.102479332,0.2057713326,0.5191494845
0.0827982224,0.0241702646,0.3681802469
0.0504941261,0.0529839784,0.2335921739
0.0237021882,0.0616860778,0.2663836207
0.2144795067,0.2084527818,0.2530227642
0.0141096083,0.0101037185,0.1463225352
0.0507985113,0.0493496699,0.2486464286
0.008188262,0.0631751186,0.2483782609
0.0798783287,0.0727632601,0.2079421687
0.1476844307,0.1269990345,0.4389477876
0.0145201417,0.0172112544,0.0951234568
0.2516134092,0.2697680119,0.4067515152
0.0330057854,0.038294532,0.1814106383
0.0587797859,0.0896813973,0.2473516484
0.0124497047,0.0326488778,0.3351170732
0.0270027188,0.1819634094,0.1965827957
0.1773151102,0.1832746007,0.4433024691
0.0098323831,0.0443268608,0.301973913
0.0388466419,0.0461497917,0.2909056818
0.1428912221,0.1753556285,0.3030164384
0.052374471,0.0085419453,0.1664505376
0.0404737383,0.0322798609,0.2251877193
0.0128838773,0.1089523595,0.2702641791
0.0029294252,0.0343237018,0.2340689189
0.0114137576,0.0561228996,0.2258223404
0.0098412891,0.002870378,0.1067552632
0.1389818244,0.1561012849,0.1714811765
0.0120423576,0.0086803851,0.200828125
0.027850453,0.1243421877,0.3238144737
