"MLE","MEAN","BBRC"
787.144038,1742.917666,3.683452
942.257628,1007.438736,4.624042
1787.776542,1994.974926,2.757471
2041.624873,437.909258,2.520565
2256.807977,579.716449,2.512634
1877.067739,963.482614,2.443427
1192.535221,801.806967,3.942127
1879.454296,653.769782,3.82674
2145.95023,664.23488,3.814551
2139.048231,563.282126,2.722497
1727.290336,623.995965,3.043805
1487.958229,753.473657,11.5443
1724.362553,748.760651,10.017593
1579.645974,577.155541,2.867647
2065.114687,505.93862,2.894337
1548.402656,452.948053,2.516338
1603.118132,447.004852,3.059608
2070.987802,404.036569,3.694815
2055.489256,403.190029,7.593415
1461.872817,428.608763,7.786971
1621.540973,592.681817,7.487421
1980.591189,594.044114,2.618895
2013.782047,432.227863,2.338636
467.415392,518.44052,7.733605
6092.008804,545.402272,3.142312
1547.922714,404.169309,2.755114
1569.503081,381.750946,2.678483
1379.055193,335.389083,2.593073
1411.862921,418.515624,8.420746
1927.207033,437.850287,10.13438
1499.100229,497.849873,7.968345
2078.298627,458.964026,2.959094
1833.888153,432.45725,7.787895
2285.336766,455.26309,7.027959
1917.151174,357.206541,6.501183
2282.592169,313.4936,3.018806
1272.226119,324.639119,2.689213
2041.07922,761.531726,7.423765
1508.614179,1167.575012,8.807164
1834.570817,1006.812481,3.024344
1434.321568,993.775794,3.044204
498.548961,730.207656,2.290848
1634.524486,1020.771964,2.787275
1192.775235,1362.345356,3.203776
1260.778237,1055.884421,3.283254
826.821632,1291.362347,3.001395
960.902795,1207.524702,2.48674
1548.096622,1096.796236,2.712242
1455.907447,1387.466619,2.675992
2260.437856,1501.490624,2.3185
1394.806507,1456.921847,2.426676
746.439452,842.327587,2.665463
967.512476,1301.101773,2.765459
1074.51112,1191.963218,2.339921
1977.662547,1336.108585,2.582039
872.187123,1251.46219,3.155109
571.505883,943.661591,2.689668
604.008044,1710.765906,3.071718
594.360604,1686.844609,2.860633
429.26224,1597.293046,2.795945
562.010269,1517.38324,2.595455
429.958076,1419.329531,2.339143
440.01477,1722.101014,2.988915
460.543147,1388.895289,2.534111
610.108495,1582.131903,2.534182
581.394157,1497.948751,2.780844
420.916605,1308.96459,3.210283
399.720445,1611.744052,2.63164
547.836285,1743.586282,2.744203
528.45961,1763.080084,2.717728
396.370214,1184.411349,2.686863
489.534119,1310.219183,2.634928
688.659731,1711.002125,2.373848
550.229705,2089.241224,2.87954
957.999158,1797.756362,4.184097
770.809442,864.556149,4.149501
617.486182,399.075802,3.586167
572.377981,5617.50646,2.736228
1245.281125,4268.909368,3.811837
436.851757,6583.733815,3.652409
753.240607,3005.858274,4.989628
649.671441,728.962728,5.30106
946.209872,534.809996,5.056099
894.932223,411.800291,4.704252
807.315662,773.289007,4.392557
984.252868,749.421337,5.044907
1099.814221,752.019999,4.421476
990.54616,909.039532,4.368123
672.705411,433.836833,5.154124
524.925152,673.774319,4.195522
638.065197,726.755533,2.874627
615.579295,804.434509,4.832412
787.253365,777.785915,4.713114
946.389091,633.46145,5.524664
996.127894,412.228301,5.592221
1295.432509,585.103799,3.34482
1120.317782,565.060066,3.476812
794.186531,531.835667,2.948909
1252.270824,1123.074482,3.66821
1576.685504,902.241818,5.845289
