"MLE","MEAN","BBRC"
16,16,
16,16,
16,16,
16,16,
16,16,
16,24,
16,24,
16,16,
24,24,
16,16,
16,24,
16,16,
16,16,
16,16,
16,28,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,24,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
20,16,
16,25,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
12,12,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
33,32,
16,16,
28,16,
16,16,
24,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,8,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,12,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
16,16,
20,23,
16,16,
16,16,
16,16,
16,16,
16,16,
16,24,
16,16,
16,16,
16,16,
