"MLE","MEAN","BBRC"
94,95,
79,71,
103,108,
78,78,
96,94,
76,49,
103,78,
75,69,
75,71,
61,59,
73,37,
55,62,
99,98,
68,80,
72,51,
69,73,
87,77,
49,50,
88,81,
89,86,
77,84,
74,51,
75,70,
75,80,
98,96,
75,75,
68,68,
67,66,
94,92,
74,70,
70,75,
76,73,
83,74,
69,100,
87,47,
68,65,
90,89,
98,94,
87,86,
95,87,
74,71,
84,85,
69,65,
81,88,
71,70,
76,70,
74,71,
81,85,
99,96,
71,68,
77,71,
68,66,
73,69,
94,90,
40,40,
108,106,
47,86,
87,86,
61,94,
81,77,
63,64,
76,72,
99,96,
56,57,
96,97,
66,63,
76,86,
90,88,
78,79,
99,94,
65,141,
89,80,
80,87,
108,105,
91,81,
115,109,
75,64,
67,102,
69,70,
79,73,
86,89,
62,62,
101,87,
86,85,
85,83,
85,89,
91,84,
82,79,
82,81,
65,61,
63,61,
73,74,
92,87,
78,68,
82,78,
79,78,
56,43,
65,61,
53,66,
84,78,
