"MLE","MEAN","BBRC"
1278,1278,
1113,1152,
950,967,
1034,1034,
1205,1174,
1002,474,
1122,516,
1177,1177,
373,373,
866,1065,
1151,534,
1102,1111,
1015,1015,
1277,1301,
1298,394,
1153,1147,
1268,1339,
1571,1565,
1180,1202,
1471,1489,
994,1252,
1114,491,
837,837,
1277,1711,
1791,1791,
1175,1175,
1257,1254,
1184,1184,
1175,1200,
989,989,
1448,1404,
1121,1123,
1201,1201,
703,1233,
940,393,
1113,1103,
1093,1111,
1649,1649,
1413,1436,
1600,1383,
1375,1375,
977,982,
906,967,
2834,3219,
1135,1096,
898,889,
1753,1590,
1221,1233,
1502,1502,
1194,1130,
1449,1449,
1175,1175,
1360,1360,
1188,1188,
320,342,
1770,1770,
413,1171,
1038,1038,
674,1465,
959,959,
1203,1204,
1297,1293,
1245,1240,
1134,1134,
1004,974,
1427,1427,
1230,1144,
1163,1163,
1167,1139,
1056,1057,
1099,9736,
1320,1293,
1072,1014,
1687,1687,
1513,1518,
920,920,
1392,1311,
1325,4142,
1670,1544,
1027,999,
1229,1286,
1782,1748,
1265,1271,
998,998,
1190,1190,
1052,1063,
1467,1404,
1195,1195,
1354,1354,
1167,1245,
586,429,
1038,1038,
1143,1143,
1580,1580,
2017,1507,
1371,1371,
1231,543,
1217,1217,
1529,1507,
1078,1078,
