"MLE","MEAN","BBRC"
143,131,464
199,252,426
278,278,481
257,203,455
137,210,480
163,165,469
271,193,473
122,209,386
310,304,483
248,261,444
285,297,456
181,182,463
175,175,496
258,258,430
126,164,469
336,159,477
184,235,472
258,276,453
285,285,436
284,290,452
211,211,465
242,242,477
242,269,481
240,182,439
252,280,415
308,319,466
255,255,407
202,260,484
249,268,484
248,277,453
271,271,487
194,194,475
189,245,463
175,175,426
277,306,441
102,102,412
122,162,400
175,215,405
174,209,475
215,234,454
88,128,420
167,194,440
249,275,456
145,145,426
98,162,472
301,307,481
288,266,436
179,176,479
259,268,460
274,293,483
128,199,442
89,152,398
200,198,463
219,250,413
263,195,480
224,248,479
335,336,455
120,156,458
118,105,471
208,266,472
205,205,465
183,221,476
163,176,484
260,227,404
239,140,483
242,279,361
186,186,451
98,98,433
263,222,422
310,281,439
173,173,376
158,178,387
208,232,437
276,281,492
242,263,471
259,278,456
142,142,399
135,147,459
79,166,433
199,219,400
157,108,464
150,193,486
216,216,440
282,282,492
162,183,389
103,199,438
152,166,394
300,293,447
106,146,489
164,258,494
262,262,484
222,222,478
306,311,434
123,245,495
122,157,484
134,134,432
142,192,423
231,276,479
139,173,395
151,280,470
