"MLE","MEAN","BBRC"
10,9,106
7,10,82
29,27,114
18,18,96
12,14,103
15,12,88
21,13,122
7,10,71
10,14,118
6,12,55
14,13,110
29,29,82
15,16,105
16,17,84
12,8,79
10,10,87
15,23,99
11,12,57
17,20,98
10,13,98
21,22,97
40,25,93
14,19,59
15,19,105
12,14,108
17,17,88
14,13,93
18,19,87
11,15,106
12,16,80
17,18,72
9,14,84
10,19,84
10,16,62
16,17,66
10,9,79
6,8,61
17,21,92
11,11,105
17,20,92
9,12,76
12,18,81
13,17,76
16,13,64
10,11,76
22,23,87
16,13,81
20,21,101
11,14,117
19,19,74
12,18,78
9,11,56
10,14,84
20,24,105
13,19,57
13,15,103
14,19,102
7,8,75
12,15,109
17,21,81
12,16,60
10,16,79
8,13,106
12,11,71
14,13,100
11,14,86
11,10,79
6,8,75
17,16,91
16,21,109
11,21,66
11,14,97
6,7,81
18,21,115
13,14,116
15,21,123
11,10,71
13,15,56
5,8,69
13,15,83
13,11,113
14,21,81
11,13,99
15,16,94
10,12,91
8,12,82
8,8,93
17,15,81
8,9,92
10,10,88
13,10,73
12,11,93
19,24,114
7,17,67
7,8,74
10,11,94
12,9,76
13,17,85
11,10,64
14,20,76
