"MLE","MEAN","BBRC"
47,46,
86,87,
41,38,
51,49,
46,46,
56,56,
65,64,
37,36,
70,69,
50,48,
50,49,
42,42,
51,43,
64,61,
75,73,
59,60,
53,52,
74,70,
62,60,
58,53,
46,44,
59,57,
41,40,
47,46,
73,73,
44,44,
55,55,
65,65,
63,61,
64,63,
47,46,
54,54,
NA,NA,
60,59,
75,73,
NA,60,
52,50,
52,50,
57,55,
52,52,
45,46,
49,47,
51,50,
NA,NA,
73,68,
22,21,
34,34,
90,89,
NA,65,
45,45,
60,57,
89,84,
51,43,
52,52,
NA,NA,
75,73,
76,74,
47,40,
NA,NA,
NA,NA,
78,76,
62,62,
46,44,
NA,46,
38,38,
87,87,
74,73,
73,73,
50,49,
88,88,
62,62,
NA,42,
50,49,
42,41,
45,42,
44,42,
52,50,
62,59,
39,38,
68,67,
37,37,
27,26,
64,62,
35,34,
74,72,
68,67,
45,45,
67,64,
37,37,
36,34,
63,61,
49,49,
48,41,
66,66,
80,78,
39,39,
75,73,
53,53,
18,18,
39,38,
