"MLE","MEAN","BBRC"
1409,1409,
1271,1271,
1430,1430,
1602,1602,
1353,1353,
1267,1267,
1500,1500,
3251,3251,
1335,1335,
1091,1091,
1313,1313,
1343,1343,
1510,1510,
1488,1488,
1543,1543,
1266,1266,
1490,1490,
1340,1340,
1544,1544,
1304,1304,
1477,1477,
1619,1619,
1137,1137,
967,967,
1149,1149,
1414,1414,
1123,1123,
1458,1458,
999,999,
1685,1685,
1098,1098,
1413,1413,
NA,NA,
2646,2646,
1233,1233,
NA,1468,
955,955,
1983,1983,
1655,1655,
1230,1230,
1441,1441,
1158,1158,
1258,1258,
NA,NA,
2085,2085,
1193,1193,
1525,1525,
1537,1537,
NA,1287,
1316,1316,
2017,2017,
1473,1473,
1685,1685,
931,931,
NA,NA,
1448,1448,
1390,1390,
1418,1418,
NA,NA,
NA,NA,
1467,1467,
1066,1066,
1279,1279,
NA,1157,
905,905,
1081,1081,
1648,1648,
1777,1777,
1227,1227,
1131,1131,
1320,1320,
NA,1108,
963,963,
1421,1421,
1066,1066,
1558,1558,
1490,1490,
1307,1307,
1147,1147,
1185,1185,
1138,1138,
1228,1228,
1071,1071,
1262,1262,
1286,1286,
1181,1181,
1373,1373,
1276,1276,
1313,1313,
1759,1759,
1281,1281,
1005,1005,
1524,1524,
1196,1196,
1106,1106,
1323,1323,
1172,1172,
1191,1191,
1600,1600,
1609,1609,
