"MLE","MEAN","BBRC"
40,55,381
162,75,365
167,169,341
157,162,304
208,208,334
46,46,322
136,171,321
40,73,320
75,75,349
39,126,300
112,112,333
163,163,345
119,139,352
67,80,369
80,121,398
166,97,347
121,121,374
45,111,325
132,186,367
74,103,368
139,178,337
119,149,377
137,150,334
72,72,318
154,154,398
88,88,375
197,185,352
165,165,407
150,165,409
98,132,381
81,97,317
180,158,407
NA,NA,346
150,150,377
132,132,382
NA,139,327
159,159,295
41,88,355
211,221,373
196,196,381
201,131,313
41,75,349
100,103,357
NA,NA,311
170,168,370
106,106,257
164,164,341
81,107,373
NA,109,376
43,43,291
45,101,343
159,175,394
98,151,387
118,118,323
NA,NA,347
36,107,311
168,168,349
135,140,340
NA,NA,312
NA,NA,340
131,137,356
84,84,339
177,222,336
NA,73,298
140,113,374
144,144,343
168,168,326
42,42,377
213,151,329
94,94,359
182,129,363
NA,39,338
82,108,313
123,123,358
41,102,314
162,162,327
74,120,293
40,127,329
44,79,330
147,157,353
44,44,291
89,104,304
167,178,344
87,100,383
44,110,328
103,113,377
171,171,367
125,156,298
155,155,322
89,123,278
160,164,354
84,84,302
216,239,317
157,157,383
155,180,373
93,93,369
119,119,352
214,192,379
234,234,296
88,101,252
