"MLE","MEAN","BBRC"
2,3,72
5,4,104
7,10,44
7,9,65
6,6,55
2,2,42
4,5,60
2,3,27
3,4,62
2,4,28
6,7,62
7,7,43
2,10,54
2,5,81
3,5,70
6,5,61
4,5,71
2,6,71
3,5,56
5,10,66
3,5,48
5,7,60
6,7,41
2,3,49
5,5,84
3,3,50
9,9,73
5,5,64
4,6,56
2,3,36
3,4,44
5,5,64
NA,NA,57
3,4,63
7,9,66
NA,3,62
4,6,53
2,4,36
14,16,84
5,5,54
5,4,45
2,4,36
5,6,47
NA,NA,26
5,10,65
6,7,22
13,13,45
3,4,76
NA,5,63
2,2,28
2,5,42
12,17,102
2,10,54
3,3,56
NA,NA,66
2,4,64
6,8,72
5,12,47
NA,NA,93
NA,NA,30
3,5,111
3,3,57
5,7,49
NA,2,35
3,3,28
3,3,83
5,6,86
2,2,51
6,7,43
4,4,83
7,7,82
NA,2,39
3,4,56
5,6,51
2,5,46
3,5,40
2,4,62
2,5,51
2,3,30
4,5,63
2,2,28
3,4,36
6,8,62
4,5,38
2,4,61
5,6,63
6,6,54
5,8,75
5,5,55
3,5,40
4,6,70
4,4,37
8,15,50
4,4,67
8,10,103
5,5,50
3,5,73
5,5,47
11,11,39
2,3,37
