"MLE","MEAN","BBRC"
17,17,
17,17,
19,17,
21,17,
17,17,
17,17,
17,21,
12,15,
17,20,
17,17,
17,17,
17,17,
8,8,
17,21,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
12,12,
17,17,
17,26,
26,17,
17,17,
17,17,
17,17,
17,17,
17,21,
17,17,
17,17,
17,19,
14,12,
17,17,
17,17,
26,26,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
12,12,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,17,
17,21,
17,17,
17,23,
17,23,
17,17,
17,17,
17,21,
17,17,
17,17,
17,17,
21,17,
