"MLE","MEAN","BBRC"
61,60,
84,84,
66,85,
70,69,
69,69,
78,77,
62,51,
88,67,
57,53,
100,96,
75,68,
76,76,
105,103,
90,61,
52,49,
69,69,
87,86,
65,60,
92,85,
58,58,
133,131,
55,55,
68,68,
80,73,
58,58,
66,60,
74,73,
78,76,
41,44,
92,43,
57,100,
64,59,
53,53,
66,62,
102,101,
77,62,
66,66,
91,87,
64,53,
80,91,
100,99,
86,81,
75,73,
63,60,
78,77,
50,46,
62,61,
62,60,
89,89,
79,79,
81,80,
77,78,
75,69,
73,71,
80,76,
94,90,
96,89,
80,79,
70,69,
104,104,
80,77,
81,76,
68,69,
83,78,
85,84,
65,60,
83,79,
91,82,
73,47,
64,61,
83,82,
103,100,
60,58,
91,90,
100,98,
70,67,
77,67,
77,69,
76,76,
62,60,
67,64,
73,73,
39,39,
79,76,
35,34,
79,78,
71,69,
70,67,
89,83,
61,45,
58,58,
69,50,
61,40,
46,45,
70,68,
66,46,
78,75,
73,73,
99,97,
57,69,
