"MLE","MEAN","BBRC"
1312,1312,
1497,1497,
1476,1844,
798,1244,
1237,1237,
1547,1547,
1150,694,
2378,1277,
1298,755,
1273,1273,
1454,1454,
969,969,
13427,13427,
1310,962,
1374,1374,
1185,1185,
1431,1431,
977,977,
1196,1196,
1263,1263,
1691,1691,
1245,1245,
1276,1276,
1579,1579,
1274,1274,
1804,1804,
1224,1224,
5689,5689,
1173,1173,
1275,544,
455,1174,
1131,1131,
1340,1340,
1125,1125,
1221,1221,
1366,938,
1479,1479,
1266,1266,
1310,944,
1793,3414,
1163,1163,
1143,1143,
532,532,
1484,1484,
1331,1331,
1138,1138,
1372,1372,
1625,1625,
1353,1353,
1527,1527,
1283,1283,
1752,1752,
1596,1596,
1772,1772,
930,930,
1240,1240,
1708,1708,
2960,2960,
1044,1044,
1628,1628,
1358,1358,
1221,1221,
882,882,
1338,1338,
1223,1223,
1567,1567,
3637,3637,
1206,1206,
1279,1088,
2479,2479,
1424,1424,
847,847,
1320,1320,
1347,1347,
3896,3896,
1420,1420,
1241,1241,
1276,1276,
1271,1271,
1600,1600,
1186,1186,
1679,1679,
1175,1175,
1260,1260,
1645,1645,
1490,1490,
1398,1398,
1274,1274,
1106,1106,
1520,972,
1266,1266,
1414,689,
1172,668,
1203,1203,
1384,1384,
1598,1036,
1333,1333,
1346,1346,
2717,2717,
977,1739,
