"MLE","MEAN","BBRC"
156,156,456
278,278,493
139,139,449
303,303,481
134,134,439
294,294,448
347,347,479
174,174,425
137,148,490
224,224,465
213,218,477
373,373,517
128,128,441
202,218,449
207,207,458
109,109,442
138,138,417
291,319,482
296,322,458
245,232,454
158,158,457
290,292,476
246,246,449
262,262,497
142,142,441
180,180,415
299,311,470
142,142,373
309,303,432
356,354,535
219,225,492
315,315,514
138,138,418
297,294,454
206,206,480
166,196,460
149,149,406
221,221,463
144,183,448
85,148,433
250,250,429
157,320,484
143,230,479
220,226,441
216,220,459
138,274,457
155,193,457
140,145,462
154,154,463
155,145,517
280,280,495
251,138,452
185,258,503
145,145,418
211,298,453
159,227,463
313,316,515
145,151,440
318,327,471
147,147,454
131,151,433
150,241,469
154,150,427
98,134,504
247,283,493
149,215,472
242,242,481
285,285,485
143,131,447
164,164,420
151,191,463
148,148,469
176,179,492
133,202,475
110,110,429
140,230,433
144,255,434
323,359,473
220,220,432
280,281,503
152,219,478
148,148,467
357,300,482
340,328,467
102,142,405
137,145,475
92,129,409
260,254,422
200,237,460
142,223,471
259,259,508
146,134,405
310,310,488
283,257,475
286,290,443
224,224,453
290,290,468
286,236,483
149,155,470
278,278,408
