"MLE","MEAN","BBRC"
24,24,24
12,12,24
24,24,12
24,24,12
24,24,24
24,36,24
24,24,24
18,18,24
24,24,24
24,24,24
24,24,37
18,18,37
24,24,33
24,24,33
12,18,18
12,12,18
24,24,24
12,18,24
24,24,30
24,24,30
24,24,24
24,24,24
38,25,18
24,24,18
24,24,24
25,25,24
30,24,24
27,24,24
24,30,12
24,24,12
24,24,12
24,24,12
24,24,24
24,24,24
12,12,12
18,12,12
24,24,24
24,24,24
24,24,24
24,24,24
24,24,24
24,24,24
24,24,24
24,30,24
24,24,25
12,12,25
24,30,24
24,24,24
24,24,24
25,25,24
24,24,25
24,24,25
24,24,24
24,24,24
24,24,27
24,24,27
24,24,24
24,24,24
24,24,24
12,12,24
24,24,24
24,24,24
25,25,24
24,24,24
24,33,24
18,18,24
24,24,24
25,25,24
24,24,12
24,24,12
24,27,12
24,36,12
24,24,30
12,12,30
12,12,24
24,24,24
24,24,36
12,18,36
25,25,24
24,24,24
24,30,24
18,18,24
24,24,36
24,36,36
24,37,30
25,25,30
24,24,30
24,24,30
24,24,24
24,24,24
24,24,12
30,24,12
24,39,24
24,31,24
24,24,24
24,28,24
12,12,24
36,24,24
24,39,25
24,24,25
