"MLE","MEAN","BBRC"
51,50,
97,91,
34,32,
17,51,
36,38,
45,25,
35,36,
53,53,
44,42,
49,45,
42,41,
57,56,
31,32,
46,43,
90,44,
124,121,
49,48,
87,56,
55,52,
40,40,
35,30,
44,43,
30,67,
43,38,
46,42,
39,37,
31,44,
29,40,
43,32,
33,33,
40,42,
38,42,
51,53,
59,58,
60,62,
66,83,
52,51,
53,54,
41,38,
35,30,
38,35,
50,48,
35,37,
41,35,
45,47,
101,100,
40,17,
20,29,
22,30,
45,41,
50,46,
36,35,
37,37,
58,56,
54,53,
38,37,
40,36,
34,33,
36,35,
99,96,
40,41,
43,38,
48,45,
32,37,
54,31,
69,70,
32,32,
50,49,
39,39,
43,41,
38,31,
49,21,
38,36,
75,75,
90,89,
50,53,
48,48,
102,47,
40,41,
44,45,
43,23,
63,62,
35,34,
54,24,
61,22,
40,37,
40,39,
37,42,
27,31,
54,52,
42,41,
23,35,
48,19,
40,25,
36,32,
46,32,
112,104,
18,53,
57,23,
44,38,
