"MLE","MEAN","BBRC"
277,277,
1154,1154,
224,224,
243,234,
300,300,
234,81,
266,266,
394,394,
208,208,
236,236,
193,193,
374,374,
290,290,
329,329,
1129,417,
843,843,
282,282,
1348,598,
298,298,
276,276,
254,254,
225,225,
111,209,
327,327,
330,330,
245,245,
147,228,
196,251,
213,136,
294,294,
242,242,
328,328,
218,218,
230,230,
959,959,
400,1244,
247,247,
231,231,
255,255,
217,217,
239,239,
280,280,
320,320,
243,160,
261,261,
1399,1399,
240,157,
196,196,
207,207,
283,283,
328,328,
229,229,
294,294,
319,319,
229,229,
268,268,
347,347,
329,329,
267,267,
894,894,
257,257,
286,286,
278,278,
276,276,
315,166,
542,542,
296,296,
220,220,
317,317,
307,307,
230,178,
272,115,
298,298,
989,989,
1170,1170,
293,293,
310,310,
1040,454,
263,263,
230,230,
206,148,
384,384,
310,310,
304,118,
253,133,
306,306,
339,339,
226,226,
270,270,
262,262,
284,284,
131,251,
241,101,
315,196,
280,280,
236,159,
897,897,
108,238,
239,78,
242,242,
