"MLE","MEAN","BBRC"
283,275,378
276,270,357
281,281,366
317,318,368
347,287,372
331,274,344
294,294,359
266,266,361
247,247,365
275,270,358
281,281,358
229,235,361
333,333,368
296,296,375
257,256,381
229,240,353
201,248,369
272,272,373
287,293,376
273,273,366
291,293,363
273,277,367
240,240,369
283,285,373
247,251,343
311,275,363
266,268,374
293,288,359
253,275,370
268,268,368
292,287,381
286,285,377
300,291,374
247,227,373
342,291,377
270,276,375
300,303,364
285,257,369
300,300,358
300,308,370
280,281,366
290,290,362
284,269,350
287,283,363
293,288,368
192,192,349
348,300,363
304,285,366
321,308,380
225,242,364
286,276,372
292,292,372
252,252,367
276,276,378
241,216,361
239,247,372
255,257,366
232,232,365
260,268,362
259,267,347
283,267,357
266,247,319
310,292,377
352,294,347
245,245,361
328,259,351
295,267,331
211,228,325
288,288,362
266,270,358
280,285,354
307,288,368
275,275,359
309,284,358
253,216,330
332,266,373
277,277,368
299,266,357
246,246,375
330,274,371
312,299,372
278,256,359
253,266,365
254,273,335
288,284,372
278,272,372
267,267,362
308,301,380
367,331,369
199,220,327
313,313,366
290,279,364
254,270,362
305,297,372
251,251,319
205,208,357
235,273,357
298,312,359
284,267,377
218,257,355
