"MLE","MEAN","BBRC"
19,20,70
26,28,47
17,19,46
19,19,70
32,30,75
24,24,58
49,48,68
15,15,38
28,30,63
27,31,63
23,24,49
14,15,30
25,24,46
35,38,77
12,14,33
12,14,42
11,12,56
27,29,51
34,37,72
26,26,62
21,26,46
16,17,47
16,14,66
28,33,69
11,15,54
21,23,59
39,39,64
21,21,57
26,26,69
38,38,55
32,30,69
38,34,69
45,43,86
11,12,55
19,17,53
23,29,52
19,20,61
21,20,69
21,24,66
28,33,59
22,25,57
40,42,83
31,29,59
29,32,64
33,31,77
14,14,55
37,36,71
53,44,67
57,49,72
16,18,61
19,23,68
25,26,44
21,21,54
20,22,72
9,10,47
19,20,52
27,31,66
8,9,45
21,22,54
12,17,54
37,36,75
14,19,50
35,38,74
36,31,51
23,20,82
23,22,36
29,29,53
9,10,53
36,36,66
22,24,65
28,29,55
35,37,71
15,17,49
25,22,62
9,8,36
24,21,66
13,13,62
23,23,42
12,12,46
20,19,73
32,37,74
24,24,40
18,19,44
19,23,61
32,32,78
18,22,55
28,29,58
43,38,74
51,47,72
16,18,68
24,25,63
34,32,63
18,20,63
37,37,69
23,27,41
15,22,61
15,22,51
30,32,76
22,25,80
11,17,48
