"SMILES","CM"
"NC1C=CC2=C(N=1)NC3=CC=CC=C23","cymy"
"CC=O","cymn"
"CC=NN(C)C=O","cymn"
"CC(=O)N","cymn"
"C1(=CC=C(C=C1)O)NC(C)=O","cymn"
"O=S(=O)(C1=CC=C(C=C1)C(=O)C)NC(=O)NC2CCCCC2","cnmn"
"CC#N","cnmn"
"C1(NNC(C)=O)=CC=CC=C1","cymy"
"C12C3=C(C=CC=C3)CC1=CC(=CC=2)NC(C)=O","cymy"
"C=CC=O","cnmy"
"NC(=O)C=C","cymn"
"OC(=O)C=C","cnmn"
"C=CC#N","cymy"
"C12C(OC3=C(N=1)C(=CC=C3C)C(N[C@@H]4C(N[C@@H](C(N5[C@@H](CCC5)C(N(CC(N([C@H](C(O[C@H]4C)=O)C(C)C)C)=O)C)=O)=O)C(C)C)=O)=O)=C(C(C(=C2C(N[C@@H]6C(N[C@@H](C(N7[C@@H](CCC7)C(N(CC(N([C@H](C(O[C@H]6C)=O)C(C)C)C)=O)C)=O)=O)C(C)C)=O)=O)N)=O)C","cymn"
"NC(=O)CCCCC(=O)N","cnmn"
"O=C(N)\C(C2=CC=CO2)=C/C1=CC=C([N+]([O-])=O)O1","cymy"
"C12=C3C(C4=C(C(O3)=O)C(=O)CC4)=C(C=C1OC5C2C=CO5)OC","cymy"
"CC(C=NOC(=O)NC)(SC)C","cnmn"
"C=CCO","cnmn"
"C=CCCl","cnmy"
"O=C(CC(C)C)OCC=C","cymn"
"O=C1C2=C(C(=CC(=C2C(=O)C3=C1C=CC=C3)Br)Br)N","cymy"
"CCN1(C2C(=CC=CC=2)C3=C1C=CC(=C3)N).[H]Cl","cymy"
"CCN1(C2C(=CC=CC=2)C3=C1C=CC(=C3)N)","cymy"
"O=C1C2=C(C(=CC=C2C(=O)C3=C1C=CC=C3)C)N","cymy"
"NC1=NC(C2=CC=C([N+]([O-])=O)O2)=CS1","cymy"
"O=[N+](C1=CN=C(S1)N)[O-]","cymy"
"O=C1C2=CC(=CC=C2C(=O)C3=C1C=CC=C3)N","cymy"
"CC1=C(C=CC=C1)/N=N/C2=CC(=C(C=C2)N)C","cymy"
"NC1=CC=C(C=C1)C2=CC=CC=C2","cymy"
"C1(N=CNN=1)N","cymn"
"OC(=O)CCCCCCCCCCN","cymn"
"O=S(O)(O)=O.C1(=CC=CC=C1CC(N)C).C2=CC=CC=C2CC(N)C","cnmn"
"[H][C@@]12[C@]([H])(NC([C@H](N)C3=CC=CC=C3)=O)C(N1[C@@H]([C@@](O)=O)C(C)(C)S2)=O.O.O.O","cnmn"
"ClC1=NC(=NC(=N1)NC2=CC=CC=C2Cl)Cl","cnmn"
"NC1=CC=CC=C1[H]Cl","cymn"
"C1(=C(C=CC=C1)N)OC.[H]Cl","cymy"
"C1(=CC=C(N)C=C1)OC.[H]Cl","cnmy"
"NC1=C(C=CC=C1)C(=O)O","cnmn"
"O=C1C2=C(C=CC=C2)C(=O)C3=C1C=CC=C3","cnmy"
"[O-][N+](C1=CC(C(OC)=CC=C4)=C4C2=C1C(C([O-])=O)=CC3=C2OCO3)=O.[Na+]","cymy"
"ClC2=C(C=CC(Cl)=C2Cl)C1=C(Cl)C(Cl)=CC=C1","cymn"
"OC=1[C@H](OC(=O)C=1O)[C@@H](O)CO","cnmn"
"OC(=O)C1=C(C=CC=C1)OC(=O)C","cnmn"
"ClC1=NC(=NC(=N1)NC(C)C)NCC","cymn"
"N=C(C2=CC=C(N(C)C)C=C2)C1=CC=C(N(C)C)C=C1.[H]Cl","cymy"
"N/C1=N/C(=O)N(/C=N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O","cymy"
"[O-][N+](C(N=C3)=C(SC1=NC=NC2=C1NC=N2)N3C)=O","cymy"
"[Na+].[N-]=[N+]=[N-]","cnmy"
"O=C1C2=C(C=CC=C2)N=NN1CSP(=S)(OC)OC","cnmy"
"C1(/N=N/C2=CC=CC=C2)=CC=CC=C1","cymy"
"C[N+](=NC)[O-]","cymy"
"C\C1=C\N(C(=O)NC1=O)[C@H]2C[C@H](/N=[N+]=[N-])[C@@H](CO)O2","cymy"
"[Cl-].[Ba+2].[Cl-].O.O","cnmn"
"O=CC1=CC=CC=C1","cymn"
"C1=CC=CC=C1","cymn"
"NC1=CC=C(C2=CC=C(N)C=C2)C=C1","cymy"
"C1(C2=CC=C(C=C2)N)=CC=C(C=C1)N.[H]Cl.[H]Cl","cymy"
"C1=CC2=CC=CC3=CC=C4C(=C23)C1=C5C(=C4)C=CC=C5","cymy"
"C1=COC2=C1C=CC=C2","cymn"
"C1=CC=CC(=C1)C(C(C2=CC=CC=C2)=O)O","cnmn"
"O=C1C=CC(=O)C=C1","cymn"
"N1=C(SSC2=NC3=C(C=CC=C3)S2)SC4=C1C=CC=C4","cnmy"
"N1C2=C(C=CC=C2)N=N1","cnmy"
"ClC(C1=CC=CC=C1)(Cl)Cl","cymy"
"CC(=O)OCC1=CC=CC=C1","cymn"
