"SMILES","ABSORPTIONPERC","ABSORPTIONCLASS"
"CC1OC(OC2C(O)C(O)C(OC3C(O)C(O)C(O)OC3CO)OC2CO)C(O)C(O)C1NC4C=C(CO)C(O)C(O)C4O",2,"inactive"
"CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(=O)C",50,"unknown"
"CC(=O)CC(c1ccc(cc1)[N+](=O)[O-])c2c(O)c3ccccc3oc2=O",90,"active"
"CC(=O)Nc1ccc(O)cc1",95,"active"
"CC(=O)Nc1nnc(s1)S(=O)(=O)N",99,"active"
"CC(=O)NC(CS)C(=O)O",90,"active"
"Cc1cnc(c[n+]1[O-])C(=O)O",90,"active"
"COc1cc(C)c(C=CC(=CC=CC(=CC(=O)O)C)C)c(C)c1C",90,"active"
"Nc1nc(O)c2ncn(COCCO)c2n1",17,"inactive"
"CC(C)(C)NCC(O)c1ccc(O)c(CO)c1",85,"active"
"OCC=C1C[N+]2(CC=C)CCC3(C2CC1C4=CN5C6C(=CN7C43)C8CC9C6(CC[N+]9(CC=C)CC8=CCO)c%10ccccc5%10)c%11ccccc7%11",0,"inactive"
"NCCCC(O)(P(=O)(O)O)P(=O)(O)O",1,"inactive"
"CC(C)CCCC(C)C1CCC2C(=CC=C3CC(O)CC(O)C3=C)CCCC12C",100,"active"
"O=c1[nH]cnc2[nH]ncc12",80,"active"
"Fc1ccc(cc1)C(N2CCN(CC2)c3nc(NCC=C)nc(NCC=C)n3)c4ccc(F)cc4",90,"active"
"NC1(CC2CC3CC(C2)C1)C3",90,"active"
"CC1(C)SC2C(N=CN3CCCCCC3)C(=O)N2C1C(=O)O",10,"inactive"
"NC(=N)NC(=O)c1nc(Cl)c(N)nc1N",50,"unknown"
"CCC1(CCC(=O)NC1=O)c2ccc(N)cc2",100,"active"
"CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3",50,"unknown"
"CN(C)CCC=C1c2ccccc2CCc3ccccc13",95,"active"
"CCOC(=O)C1=C(COCCN)NC(=C(C1c2ccccc2Cl)C(=O)OC)C",70,"unknown"
"Clc1ccc2Oc3ccccc3N=C(N4CCNCC4)c2c1",95,"active"
"CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O",90,"active"
"CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O",35,"unknown"
"CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N",100,"active"
"CC(=O)Oc1ccccc1C(=O)O",80,"active"
"COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1",90,"active"
"CC(C)NCC(O)COc1ccc(CC(=O)N)cc1",44,"unknown"
"CN1C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3",95,"active"
"CC(=O)OCC1OC(S)C(OC(=O)C)C(OC(=O)C)C1OC(=O)C",23,"inactive"
"CN1CCC(=C2c3ccccc3CCc4cccnc24)CC1",90,"active"
"Cn1cnc([N+](=O)[O-])c1Sc2[nH]cnc3ncnc23",87,"active"
"CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC3OC(C)CC(C3O)N(C)C)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O",37,"unknown"
"CC1(C)SC2C(NC(=O)C(NC(=O)N3CCNC3=O)c4ccccc4)C(=O)N2C1C(=O)O",0,"inactive"
"CC1C(NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O",1,"inactive"
"NCC(CC(=O)O)c1ccc(Cl)cc1",95,"active"
"CCOC(=O)C(CCc1ccccc1)NC2CCc3ccccc3N(CC(=O)O)C2=O",37,"unknown"
"NS(=O)(=O)c1cc2c(NC(Cc3ccccc3)NS2(=O)=O)cc1C(F)(F)F",100,"active"
"CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(=O)C)cc1",100,"active"
"NC(CO)C(=O)NNCc1ccc(O)c(O)c1O",70,"unknown"
"CNCCc1ccccn1",100,"active"
"CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1",85,"active"
