MLE,MEAN,BBRC
2017.0,2018.0,2029.0
2024.0,2018.0,2019.0
2022.0,2021.0,2013.0
2021.0,2021.0,2026.0
2019.0,2021.0,2023.0
2026.0,2026.0,2012.0
2025.0,2025.0,2027.0
2021.0,2021.0,2027.0
2023.0,2026.0,2030.0
2018.0,2018.0,2009.0
2023.0,2023.0,2026.0
2025.0,2025.0,2018.0
2027.0,2027.0,2030.0
2023.0,1997.0,2024.0
2023.0,2021.0,2025.0
2022.0,2022.0,2029.0
2019.0,2019.0,2019.0
2025.0,2025.0,2029.0
2019.0,2019.0,2005.0
2017.0,2017.0,2024.0
2028.0,2026.0,2030.0
2023.0,2009.0,2018.0
2015.0,2015.0,2021.0
2024.0,2014.0,2029.0
2023.0,2023.0,2015.0
2024.0,2024.0,2029.0
2025.0,2006.0,2014.0
2027.0,2023.0,2029.0
2022.0,2012.0,2023.0
2025.0,2025.0,2027.0
2026.0,2027.0,2027.0
2023.0,2021.0,2028.0
2023.0,2022.0,2012.0
2021.0,2019.0,2025.0
2023.0,2017.0,2026.0
2022.0,2020.0,2030.0
2023.0,2023.0,2030.0
2025.0,2024.0,2024.0
2021.0,2020.0,2009.0
2018.0,2003.0,2007.0
2028.0,2025.0,2030.0
2021.0,2012.0,2026.0
2017.0,2017.0,2026.0
2026.0,2025.0,2032.0
2022.0,2022.0,2024.0
2024.0,2024.0,2024.0
2026.0,2026.0,2028.0
2024.0,2022.0,2025.0
2018.0,2018.0,2008.0
2024.0,2025.0,2029.0
2026.0,2026.0,2030.0
2021.0,2010.0,2017.0
2020.0,2020.0,2023.0
2021.0,2021.0,2028.0
2010.0,2010.0,1988.0
2012.0,2012.0,2005.0
2024.0,2024.0,2030.0
2025.0,2025.0,2028.0
2025.0,2025.0,2026.0
2021.0,2021.0,2008.0
2020.0,2020.0,2031.0
2019.0,2018.0,2027.0
2024.0,2024.0,2019.0
2016.0,2014.0,2028.0
2023.0,2023.0,2026.0
2019.0,2018.0,2029.0
2022.0,2018.0,2027.0
2020.0,2020.0,2026.0
2025.0,2023.0,2027.0
2021.0,2021.0,2025.0
2024.0,2022.0,2029.0
2021.0,2021.0,2023.0
2026.0,2022.0,2026.0
2021.0,2015.0,2028.0
2027.0,2027.0,2027.0
2024.0,2016.0,2028.0
2023.0,2015.0,2027.0
2022.0,2022.0,2026.0
2023.0,2014.0,2014.0
2019.0,2019.0,2024.0
2026.0,2026.0,2017.0
2027.0,2027.0,2027.0
2025.0,2025.0,2029.0
2024.0,2024.0,2024.0
2022.0,2022.0,2026.0
2021.0,2021.0,2028.0
2024.0,2021.0,2028.0
2026.0,2016.0,2025.0
2018.0,2018.0,2020.0
2024.0,2021.0,2030.0
2022.0,2020.0,2017.0
2028.0,2028.0,2033.0
2012.0,2005.0,2016.0
2021.0,2021.0,2017.0
2025.0,2023.0,2017.0
2022.0,2022.0,2027.0
2021.0,2021.0,2009.0
2023.0,2021.0,2026.0
2022.0,2022.0,2023.0
2022.0,2022.0,2009.0
