MLE,MEAN,BBRC
287.0,284.0,314.0
332.0,328.0,294.0
307.0,296.0,317.0
264.0,256.0,261.0
202.0,302.0,276.0
326.0,315.0,299.0
285.0,274.0,287.0
312.0,306.0,290.0
244.0,236.0,246.0
340.0,338.0,313.0
300.0,287.0,318.0
354.0,344.0,348.0
361.0,352.0,362.0
271.0,265.0,298.0
389.0,382.0,365.0
342.0,338.0,299.0
280.0,272.0,254.0
278.0,274.0,293.0
298.0,293.0,285.0
303.0,300.0,282.0
381.0,354.0,391.0
337.0,326.0,294.0
338.0,324.0,319.0
372.0,360.0,363.0
291.0,285.0,301.0
348.0,346.0,336.0
316.0,304.0,319.0
327.0,321.0,321.0
321.0,310.0,289.0
260.0,253.0,208.0
278.0,275.0,269.0
286.0,281.0,299.0
246.0,299.0,328.0
432.0,423.0,402.0
361.0,345.0,389.0
298.0,295.0,322.0
259.0,252.0,261.0
336.0,329.0,286.0
336.0,326.0,295.0
321.0,314.0,324.0
337.0,327.0,278.0
329.0,323.0,310.0
278.0,266.0,324.0
409.0,402.0,410.0
297.0,287.0,296.0
304.0,300.0,303.0
294.0,284.0,265.0
293.0,273.0,265.0
409.0,394.0,393.0
367.0,359.0,379.0
264.0,254.0,264.0
356.0,345.0,332.0
393.0,384.0,358.0
313.0,307.0,296.0
197.0,195.0,177.0
259.0,254.0,249.0
294.0,288.0,315.0
256.0,253.0,247.0
407.0,400.0,411.0
278.0,274.0,303.0
296.0,290.0,346.0
290.0,280.0,330.0
392.0,390.0,330.0
353.0,345.0,380.0
327.0,323.0,312.0
321.0,310.0,285.0
286.0,274.0,302.0
263.0,253.0,274.0
260.0,254.0,253.0
274.0,272.0,278.0
390.0,374.0,404.0
316.0,315.0,277.0
351.0,345.0,341.0
324.0,314.0,343.0
335.0,332.0,327.0
317.0,311.0,324.0
415.0,406.0,385.0
339.0,334.0,365.0
319.0,309.0,297.0
400.0,394.0,350.0
301.0,296.0,292.0
305.0,299.0,268.0
342.0,336.0,332.0
274.0,258.0,272.0
291.0,290.0,278.0
282.0,268.0,261.0
320.0,307.0,273.0
407.0,393.0,374.0
314.0,308.0,316.0
218.0,208.0,219.0
280.0,277.0,273.0
321.0,318.0,282.0
431.0,413.0,392.0
321.0,314.0,332.0
371.0,358.0,356.0
396.0,393.0,386.0
388.0,382.0,354.0
346.0,338.0,331.0
304.0,294.0,280.0
248.0,248.0,252.0
