MLE,MEAN,BBRC
6996.447719,6911.17796,11.674838
7330.430191,6874.569651,11.22357
7254.479882,7352.499573,11.290263
3892.149564,7244.928216,11.293214
27122.376002,4332.572403,11.69926
5578.228003,11215.292103,11.895901
8020.757905,3571.74399,11.703488
8074.03134,3903.867695,11.358663
7582.501917,3194.744458,11.627734
8232.783624,4645.920881,11.068183
2315.055261,5378.942798,10.950894
2605.041166,8529.065612,11.597357
5998.128047,8127.306041,12.041286
7022.838248,7734.39594,10.461665
9021.424684,7865.372939,13.902289
7377.241312,2497.785099,10.600659
5141.958465,1969.48995,11.324568
6408.888767,6292.939661,10.093738
3984.382805,8252.384885,12.409494
3769.40582,2643.334846,10.543258
4636.769289,6763.78348,11.393263
5101.976671,5532.185252,11.573349
5684.576879,2156.96046,11.750463
5553.884373,2367.654274,12.494376
3576.951083,3181.815924,10.803537
3873.923243,6910.254998,11.407487
3458.141429,6835.371929,14.418715
4525.28103,7482.555,11.667983
5907.396579,7246.672007,11.13301
5938.545079,1919.963478,10.746147
5365.822197,10931.97142,17.858277
7394.446397,3677.544826,11.225213
7087.654116,4028.122258,12.34831
7842.046381,5125.66879,11.737912
7776.743437,6190.78563,11.725909
2067.666834,8513.956976,13.342525
4386.335155,8171.099283,10.556884
5742.793721,7305.097935,11.97182
8591.136875,8003.950519,11.468034
8238.394966,2180.287258,9.99378
8136.105441,3918.399584,14.919711
7941.933748,2825.354171,12.258946
2193.730907,5327.191684,11.310052
2774.106537,7649.539018,11.254071
5763.36606,8827.767721,11.224116
7175.176241,7404.242001,10.689537
8815.772668,4042.148653,12.303894
7132.74264,4721.423206,13.940419
5938.410938,2476.421071,16.36554
6527.019964,2140.283603,10.416996
1930.368232,5210.636858,15.359264
3291.278709,8690.639094,10.520569
3432.105802,8547.37952,12.193009
3793.833955,7112.208484,10.823837
2132.367086,6840.187237,9.988309
1997.223662,2042.693326,10.940191
2432.172354,2033.936542,12.156045
2327.564511,2392.33892,11.136116
3691.178587,2640.615647,19.290735
3125.789404,2033.099262,11.821429
3076.666905,2794.172891,12.00463
2335.139603,2711.700503,16.586686
2385.205579,2974.100057,11.773373
2366.617411,6029.42267,13.727959
2341.044172,7506.067955,10.779009
2151.567777,8668.448267,11.080349
2247.554272,6731.62151,12.859557
2156.981017,5098.53863,11.016441
6655.002594,6341.396981,14.612042
4329.589666,1953.669191,11.211873
2924.149654,2352.906556,12.567131
6254.727385,2807.539774,13.110592
2499.300953,2911.818307,11.962157
2278.468755,2886.207374,16.654544
2442.600667,3614.089741,9.960684
2289.96573,2414.691918,11.092435
3188.814171,2863.620775,12.533277
3647.908513,3326.428318,10.807214
2640.446352,2928.317863,11.986627
2696.015665,2800.589233,11.725962
2728.605665,3134.434906,11.191735
3116.332931,2812.614973,13.196857
3198.390744,2533.081579,12.602665
2660.571926,2987.903199,10.379765
2197.481443,2886.846894,13.884505
1980.363927,2430.638099,9.660733
2179.204934,2541.415832,12.758991
2585.174891,3333.527207,11.173729
2155.572928,3089.475598,12.826785
1875.465569,3222.48146,10.741177
2245.805236,2412.852408,10.275037
2644.894272,2686.100227,12.294699
4008.648606,3312.782199,11.816654
2948.365296,3259.733905,13.004844
3200.935426,3726.92474,11.239283
4030.80298,3201.752918,15.011826
3259.44427,2468.938477,15.963556
3000.514772,6385.405515,11.961087
3204.253332,1977.087167,11.234275
2839.80205,2042.887099,18.000992
