MLE,MEAN,BBRC
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
63.0,63.0,NA
