MLE,MEAN,BBRC
35.0,38.0,NA
33.0,37.0,NA
45.0,56.0,NA
32.0,40.0,NA
14.0,60.0,NA
18.0,29.0,NA
45.0,56.0,NA
50.0,56.0,NA
38.0,46.0,NA
31.0,33.0,NA
43.0,56.0,NA
28.0,38.0,NA
32.0,41.0,NA
34.0,40.0,NA
39.0,46.0,NA
29.0,33.0,NA
23.0,31.0,NA
19.0,23.0,NA
31.0,36.0,NA
13.0,16.0,NA
22.0,49.0,NA
25.0,36.0,NA
12.0,26.0,NA
46.0,58.0,NA
21.0,27.0,NA
23.0,25.0,NA
31.0,43.0,NA
26.0,32.0,NA
36.0,47.0,NA
30.0,37.0,NA
35.0,38.0,NA
40.0,45.0,NA
14.0,57.0,NA
17.0,26.0,NA
21.0,37.0,NA
43.0,46.0,NA
38.0,45.0,NA
26.0,33.0,NA
17.0,27.0,NA
26.0,33.0,NA
16.0,26.0,NA
27.0,33.0,NA
48.0,60.0,NA
43.0,50.0,NA
33.0,43.0,NA
26.0,30.0,NA
17.0,27.0,NA
16.0,36.0,NA
29.0,44.0,NA
61.0,69.0,NA
44.0,54.0,NA
25.0,36.0,NA
20.0,29.0,NA
26.0,32.0,NA
19.0,21.0,NA
22.0,27.0,NA
48.0,54.0,NA
31.0,34.0,NA
15.0,22.0,NA
49.0,53.0,NA
45.0,51.0,NA
32.0,42.0,NA
22.0,24.0,NA
64.0,72.0,NA
27.0,31.0,NA
33.0,44.0,NA
38.0,50.0,NA
27.0,37.0,NA
42.0,48.0,NA
29.0,31.0,NA
47.0,63.0,NA
27.0,28.0,NA
13.0,19.0,NA
50.0,60.0,NA
38.0,41.0,NA
42.0,48.0,NA
26.0,35.0,NA
40.0,45.0,NA
31.0,41.0,NA
30.0,36.0,NA
20.0,25.0,NA
16.0,22.0,NA
29.0,35.0,NA
35.0,51.0,NA
20.0,21.0,NA
31.0,45.0,NA
24.0,37.0,NA
28.0,42.0,NA
31.0,37.0,NA
46.0,56.0,NA
18.0,21.0,NA
47.0,50.0,NA
33.0,51.0,NA
23.0,30.0,NA
63.0,76.0,NA
28.0,31.0,NA
78.0,84.0,NA
48.0,56.0,NA
28.0,38.0,NA
46.0,46.0,NA
