MLE,MEAN,BBRC
1241.0,1241.0,NA
1187.0,1187.0,NA
1297.0,1297.0,NA
879.0,879.0,NA
1005.0,960.0,NA
967.0,967.0,NA
846.0,846.0,NA
1308.0,1308.0,NA
1023.0,1023.0,NA
1045.0,1045.0,NA
1017.0,1017.0,NA
1379.0,1379.0,NA
1194.0,1194.0,NA
1308.0,1308.0,NA
981.0,981.0,NA
1252.0,1252.0,NA
1243.0,1243.0,NA
1082.0,1082.0,NA
1084.0,1084.0,NA
1104.0,1104.0,NA
1818.0,1818.0,NA
1060.0,1060.0,NA
1342.0,1342.0,NA
1169.0,1169.0,NA
1218.0,1218.0,NA
1121.0,1121.0,NA
1257.0,1257.0,NA
1216.0,1216.0,NA
1001.0,1001.0,NA
865.0,865.0,NA
1152.0,1152.0,NA
1118.0,1118.0,NA
1406.0,1455.0,NA
1318.0,1318.0,NA
1698.0,1698.0,NA
964.0,964.0,NA
1120.0,1120.0,NA
976.0,976.0,NA
1626.0,1626.0,NA
1140.0,1140.0,NA
1355.0,1355.0,NA
1309.0,1309.0,NA
972.0,972.0,NA
1507.0,1507.0,NA
1177.0,1177.0,NA
1253.0,1253.0,NA
873.0,873.0,NA
1347.0,1347.0,NA
1140.0,1140.0,NA
927.0,927.0,NA
957.0,957.0,NA
1269.0,1269.0,NA
1403.0,1403.0,NA
1207.0,1207.0,NA
1130.0,1130.0,NA
1351.0,1351.0,NA
1034.0,1034.0,NA
1096.0,1096.0,NA
1303.0,1303.0,NA
1205.0,1205.0,NA
1353.0,1353.0,NA
1180.0,1180.0,NA
1178.0,1178.0,NA
988.0,988.0,NA
1304.0,1304.0,NA
884.0,884.0,NA
1190.0,1190.0,NA
1140.0,1140.0,NA
929.0,929.0,NA
1372.0,1372.0,NA
1222.0,1222.0,NA
1102.0,1102.0,NA
1147.0,1147.0,NA
1147.0,1147.0,NA
1430.0,1430.0,NA
1298.0,1298.0,NA
1394.0,1394.0,NA
1262.0,1262.0,NA
1100.0,1100.0,NA
990.0,990.0,NA
1287.0,1287.0,NA
1104.0,1104.0,NA
1064.0,1064.0,NA
1186.0,1186.0,NA
1405.0,1405.0,NA
1027.0,1027.0,NA
1069.0,1069.0,NA
1254.0,1254.0,NA
1037.0,1037.0,NA
1267.0,1267.0,NA
1448.0,1448.0,NA
1113.0,1113.0,NA
1401.0,1401.0,NA
1366.0,1366.0,NA
1161.0,1161.0,NA
1753.0,1753.0,NA
1118.0,1118.0,NA
1103.0,1103.0,NA
1270.0,1270.0,NA
1366.0,1366.0,NA
