MLE,MEAN,BBRC
143.0,131.0,464.0
199.0,252.0,426.0
278.0,278.0,481.0
257.0,203.0,455.0
137.0,210.0,480.0
163.0,165.0,469.0
271.0,193.0,473.0
122.0,209.0,386.0
310.0,304.0,483.0
248.0,261.0,444.0
285.0,297.0,456.0
181.0,182.0,463.0
175.0,175.0,496.0
258.0,258.0,430.0
126.0,164.0,469.0
336.0,159.0,477.0
184.0,235.0,472.0
258.0,276.0,453.0
285.0,285.0,436.0
284.0,290.0,452.0
211.0,211.0,465.0
242.0,242.0,477.0
242.0,269.0,481.0
240.0,182.0,439.0
252.0,280.0,415.0
308.0,319.0,466.0
255.0,255.0,407.0
202.0,260.0,484.0
249.0,268.0,484.0
248.0,277.0,453.0
271.0,271.0,487.0
194.0,194.0,475.0
189.0,245.0,463.0
175.0,175.0,426.0
277.0,306.0,441.0
102.0,102.0,412.0
122.0,162.0,400.0
175.0,215.0,405.0
174.0,209.0,475.0
215.0,234.0,454.0
88.0,128.0,420.0
167.0,194.0,440.0
249.0,275.0,456.0
145.0,145.0,426.0
98.0,162.0,472.0
301.0,307.0,481.0
288.0,266.0,436.0
179.0,176.0,479.0
259.0,268.0,460.0
274.0,293.0,483.0
128.0,199.0,442.0
89.0,152.0,398.0
200.0,198.0,463.0
219.0,250.0,413.0
263.0,195.0,480.0
224.0,248.0,479.0
335.0,336.0,455.0
120.0,156.0,458.0
118.0,105.0,471.0
208.0,266.0,472.0
205.0,205.0,465.0
183.0,221.0,476.0
163.0,176.0,484.0
260.0,227.0,404.0
239.0,140.0,483.0
242.0,279.0,361.0
186.0,186.0,451.0
98.0,98.0,433.0
263.0,222.0,422.0
310.0,281.0,439.0
173.0,173.0,376.0
158.0,178.0,387.0
208.0,232.0,437.0
276.0,281.0,492.0
242.0,263.0,471.0
259.0,278.0,456.0
142.0,142.0,399.0
135.0,147.0,459.0
79.0,166.0,433.0
199.0,219.0,400.0
157.0,108.0,464.0
150.0,193.0,486.0
216.0,216.0,440.0
282.0,282.0,492.0
162.0,183.0,389.0
103.0,199.0,438.0
152.0,166.0,394.0
300.0,293.0,447.0
106.0,146.0,489.0
164.0,258.0,494.0
262.0,262.0,484.0
222.0,222.0,478.0
306.0,311.0,434.0
123.0,245.0,495.0
122.0,157.0,484.0
134.0,134.0,432.0
142.0,192.0,423.0
231.0,276.0,479.0
139.0,173.0,395.0
151.0,280.0,470.0
