MLE,MEAN,BBRC
10.0,9.0,106.0
7.0,10.0,82.0
29.0,28.0,114.0
18.0,18.0,96.0
12.0,15.0,103.0
15.0,17.0,88.0
21.0,23.0,122.0
7.0,11.0,71.0
21.0,38.0,118.0
6.0,9.0,55.0
14.0,17.0,110.0
29.0,32.0,82.0
15.0,16.0,105.0
16.0,17.0,84.0
12.0,11.0,79.0
10.0,13.0,87.0
15.0,19.0,99.0
11.0,13.0,57.0
17.0,19.0,98.0
10.0,14.0,98.0
21.0,22.0,97.0
40.0,43.0,93.0
14.0,19.0,76.0
15.0,16.0,105.0
12.0,14.0,108.0
17.0,17.0,88.0
14.0,13.0,93.0
18.0,19.0,87.0
11.0,15.0,106.0
12.0,16.0,80.0
17.0,17.0,72.0
9.0,13.0,84.0
10.0,19.0,84.0
14.0,15.0,79.0
16.0,19.0,66.0
10.0,11.0,79.0
6.0,7.0,80.0
17.0,21.0,92.0
11.0,14.0,105.0
17.0,19.0,92.0
9.0,12.0,76.0
12.0,16.0,81.0
13.0,15.0,76.0
9.0,13.0,51.0
10.0,12.0,76.0
22.0,26.0,87.0
16.0,21.0,81.0
20.0,18.0,101.0
11.0,14.0,117.0
19.0,20.0,74.0
12.0,18.0,78.0
9.0,11.0,56.0
10.0,14.0,84.0
20.0,24.0,105.0
17.0,26.0,140.0
13.0,15.0,103.0
15.0,17.0,102.0
7.0,8.0,75.0
17.0,15.0,109.0
17.0,21.0,81.0
12.0,12.0,60.0
10.0,15.0,79.0
8.0,10.0,106.0
12.0,11.0,71.0
14.0,13.0,100.0
11.0,14.0,86.0
11.0,11.0,79.0
6.0,8.0,75.0
17.0,19.0,91.0
16.0,20.0,109.0
11.0,12.0,66.0
11.0,16.0,97.0
6.0,8.0,81.0
18.0,21.0,115.0
13.0,18.0,116.0
15.0,21.0,123.0
11.0,11.0,71.0
13.0,14.0,56.0
5.0,8.0,69.0
13.0,16.0,83.0
13.0,12.0,113.0
14.0,16.0,81.0
11.0,14.0,99.0
15.0,16.0,94.0
10.0,12.0,91.0
8.0,11.0,82.0
8.0,10.0,93.0
17.0,19.0,81.0
8.0,9.0,92.0
10.0,17.0,88.0
14.0,14.0,73.0
12.0,11.0,93.0
19.0,24.0,114.0
7.0,17.0,67.0
7.0,8.0,74.0
10.0,11.0,94.0
12.0,15.0,76.0
13.0,17.0,85.0
11.0,12.0,64.0
14.0,20.0,76.0
