MLE,MEAN,BBRC
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
16.0,16.0,NA
