MLE,MEAN,BBRC
94.0,95.0,NA
79.0,76.0,NA
103.0,104.0,NA
78.0,78.0,NA
96.0,93.0,NA
76.0,74.0,NA
103.0,101.0,NA
75.0,71.0,NA
111.0,94.0,NA
61.0,58.0,NA
73.0,70.0,NA
55.0,52.0,NA
99.0,98.0,NA
68.0,67.0,NA
72.0,73.0,NA
69.0,66.0,NA
87.0,83.0,NA
49.0,47.0,NA
88.0,86.0,NA
89.0,85.0,NA
77.0,76.0,NA
74.0,71.0,NA
75.0,70.0,NA
75.0,74.0,NA
98.0,96.0,NA
75.0,75.0,NA
68.0,69.0,NA
67.0,66.0,NA
94.0,90.0,NA
74.0,70.0,NA
70.0,70.0,NA
76.0,72.0,NA
83.0,74.0,NA
83.0,82.0,NA
87.0,84.0,NA
68.0,67.0,NA
90.0,89.0,NA
98.0,94.0,NA
87.0,84.0,NA
95.0,93.0,NA
74.0,71.0,NA
84.0,80.0,NA
69.0,67.0,NA
54.0,50.0,NA
71.0,69.0,NA
76.0,72.0,NA
74.0,69.0,NA
81.0,83.0,NA
99.0,96.0,NA
71.0,70.0,NA
77.0,71.0,NA
68.0,66.0,NA
73.0,69.0,NA
94.0,90.0,NA
137.0,128.0,NA
108.0,106.0,NA
82.0,80.0,NA
87.0,86.0,NA
92.0,94.0,NA
81.0,77.0,NA
63.0,63.0,NA
76.0,71.0,NA
99.0,97.0,NA
56.0,57.0,NA
96.0,97.0,NA
66.0,63.0,NA
76.0,76.0,NA
90.0,88.0,NA
78.0,76.0,NA
99.0,95.0,NA
65.0,64.0,NA
89.0,84.0,NA
80.0,78.0,NA
108.0,105.0,NA
91.0,86.0,NA
115.0,109.0,NA
75.0,75.0,NA
67.0,66.0,NA
69.0,66.0,NA
79.0,76.0,NA
86.0,87.0,NA
62.0,60.0,NA
101.0,98.0,NA
86.0,85.0,NA
85.0,83.0,NA
85.0,82.0,NA
91.0,89.0,NA
82.0,80.0,NA
82.0,81.0,NA
65.0,58.0,NA
79.0,79.0,NA
73.0,74.0,NA
92.0,87.0,NA
78.0,68.0,NA
82.0,81.0,NA
79.0,78.0,NA
56.0,53.0,NA
65.0,61.0,NA
53.0,52.0,NA
84.0,78.0,NA
