MLE,MEAN,BBRC
1278.0,1278.0,NA
1113.0,1113.0,NA
950.0,950.0,NA
1034.0,1034.0,NA
1205.0,1205.0,NA
1002.0,1002.0,NA
1122.0,1122.0,NA
1177.0,1177.0,NA
712.0,712.0,NA
866.0,866.0,NA
1151.0,1151.0,NA
1102.0,1102.0,NA
1015.0,1015.0,NA
1277.0,1277.0,NA
1298.0,1298.0,NA
1153.0,1153.0,NA
1268.0,1268.0,NA
1571.0,1571.0,NA
1180.0,1180.0,NA
1471.0,1471.0,NA
994.0,994.0,NA
1114.0,1114.0,NA
837.0,837.0,NA
1277.0,1277.0,NA
1791.0,1791.0,NA
1175.0,1175.0,NA
1257.0,1257.0,NA
1184.0,1184.0,NA
1175.0,1175.0,NA
989.0,989.0,NA
1448.0,1448.0,NA
1121.0,1121.0,NA
1201.0,1201.0,NA
1163.0,1163.0,NA
940.0,940.0,NA
1113.0,1113.0,NA
1093.0,1093.0,NA
1649.0,1649.0,NA
1413.0,1413.0,NA
1600.0,1600.0,NA
1375.0,1375.0,NA
977.0,977.0,NA
906.0,906.0,NA
1183.0,1183.0,NA
1135.0,1135.0,NA
898.0,898.0,NA
1753.0,1753.0,NA
1221.0,1221.0,NA
1502.0,1502.0,NA
1194.0,1194.0,NA
1449.0,1449.0,NA
1175.0,1175.0,NA
1360.0,1360.0,NA
1188.0,1188.0,NA
1354.0,1354.0,NA
1770.0,1770.0,NA
1215.0,1215.0,NA
1038.0,1038.0,NA
1465.0,1465.0,NA
959.0,959.0,NA
1203.0,1203.0,NA
1297.0,1297.0,NA
1245.0,1245.0,NA
1134.0,1134.0,NA
1004.0,1004.0,NA
1427.0,1427.0,NA
1230.0,1230.0,NA
1163.0,1163.0,NA
1167.0,1167.0,NA
1056.0,1056.0,NA
1099.0,1099.0,NA
1320.0,1320.0,NA
1072.0,1072.0,NA
1687.0,1687.0,NA
1513.0,1513.0,NA
920.0,920.0,NA
1392.0,1392.0,NA
1325.0,1325.0,NA
1670.0,1670.0,NA
1027.0,1027.0,NA
1229.0,1229.0,NA
1782.0,1782.0,NA
1265.0,1265.0,NA
998.0,998.0,NA
1190.0,1190.0,NA
1052.0,1052.0,NA
1467.0,1467.0,NA
1195.0,1195.0,NA
1354.0,1354.0,NA
1167.0,1167.0,NA
919.0,919.0,NA
1038.0,1038.0,NA
1143.0,1143.0,NA
1580.0,1580.0,NA
2017.0,2017.0,NA
1371.0,1371.0,NA
1231.0,1231.0,NA
1217.0,1217.0,NA
1529.0,1529.0,NA
1078.0,1078.0,NA
