MLE,MEAN,BBRC
40.0,55.0,381.0
162.0,75.0,365.0
167.0,169.0,341.0
157.0,162.0,304.0
208.0,208.0,334.0
46.0,46.0,322.0
136.0,171.0,321.0
40.0,73.0,320.0
75.0,75.0,349.0
39.0,126.0,300.0
112.0,112.0,333.0
163.0,163.0,345.0
119.0,139.0,352.0
67.0,80.0,369.0
80.0,121.0,398.0
166.0,97.0,347.0
121.0,121.0,374.0
45.0,111.0,325.0
132.0,186.0,367.0
74.0,103.0,368.0
139.0,178.0,337.0
119.0,149.0,377.0
137.0,150.0,334.0
72.0,72.0,318.0
154.0,154.0,398.0
88.0,88.0,375.0
197.0,185.0,352.0
165.0,165.0,407.0
150.0,165.0,409.0
98.0,132.0,381.0
81.0,97.0,317.0
180.0,158.0,407.0
NA,NA,346.0
150.0,150.0,377.0
132.0,132.0,382.0
NA,139.0,327.0
159.0,159.0,295.0
41.0,88.0,355.0
211.0,221.0,373.0
196.0,196.0,381.0
201.0,131.0,313.0
41.0,75.0,349.0
100.0,103.0,357.0
NA,NA,311.0
170.0,168.0,370.0
106.0,106.0,257.0
164.0,164.0,341.0
81.0,107.0,373.0
NA,109.0,376.0
43.0,43.0,291.0
45.0,101.0,343.0
159.0,175.0,394.0
98.0,151.0,387.0
118.0,118.0,323.0
NA,NA,347.0
36.0,107.0,311.0
168.0,168.0,349.0
135.0,140.0,340.0
NA,NA,312.0
NA,NA,340.0
131.0,137.0,356.0
84.0,84.0,339.0
177.0,222.0,336.0
NA,73.0,298.0
140.0,113.0,374.0
144.0,144.0,343.0
168.0,168.0,326.0
42.0,42.0,377.0
213.0,151.0,329.0
94.0,94.0,359.0
182.0,129.0,363.0
NA,39.0,338.0
82.0,108.0,313.0
123.0,123.0,358.0
41.0,102.0,314.0
162.0,162.0,327.0
74.0,120.0,293.0
40.0,127.0,329.0
44.0,79.0,330.0
147.0,157.0,353.0
44.0,44.0,291.0
89.0,104.0,304.0
167.0,178.0,344.0
87.0,100.0,383.0
44.0,110.0,328.0
103.0,113.0,377.0
171.0,171.0,367.0
125.0,156.0,298.0
155.0,155.0,322.0
89.0,123.0,278.0
160.0,164.0,354.0
84.0,84.0,302.0
216.0,239.0,317.0
157.0,157.0,383.0
155.0,180.0,373.0
93.0,93.0,369.0
119.0,119.0,352.0
214.0,192.0,379.0
234.0,234.0,296.0
88.0,101.0,252.0
