MLE,MEAN,BBRC
2.0,3.0,72.0
5.0,4.0,104.0
7.0,10.0,44.0
7.0,9.0,65.0
6.0,6.0,55.0
2.0,2.0,42.0
4.0,5.0,60.0
2.0,3.0,27.0
3.0,4.0,62.0
2.0,4.0,28.0
6.0,7.0,62.0
7.0,7.0,43.0
2.0,10.0,54.0
2.0,5.0,81.0
3.0,5.0,70.0
6.0,5.0,61.0
4.0,5.0,71.0
2.0,6.0,71.0
3.0,5.0,56.0
5.0,10.0,66.0
3.0,5.0,48.0
5.0,7.0,60.0
6.0,7.0,41.0
2.0,3.0,49.0
5.0,5.0,84.0
3.0,3.0,50.0
9.0,9.0,73.0
5.0,5.0,64.0
4.0,6.0,56.0
2.0,3.0,36.0
3.0,4.0,44.0
5.0,5.0,64.0
NA,NA,57.0
3.0,4.0,63.0
7.0,9.0,66.0
NA,3.0,62.0
4.0,6.0,53.0
2.0,4.0,36.0
14.0,16.0,84.0
5.0,5.0,54.0
5.0,4.0,45.0
2.0,4.0,36.0
5.0,6.0,47.0
NA,NA,26.0
5.0,10.0,65.0
6.0,7.0,22.0
13.0,13.0,45.0
3.0,4.0,76.0
NA,5.0,63.0
2.0,2.0,28.0
2.0,5.0,42.0
12.0,17.0,102.0
2.0,10.0,54.0
3.0,3.0,56.0
NA,NA,66.0
2.0,4.0,64.0
6.0,8.0,72.0
5.0,12.0,47.0
NA,NA,93.0
NA,NA,30.0
3.0,5.0,111.0
3.0,3.0,57.0
5.0,7.0,49.0
NA,2.0,35.0
3.0,3.0,28.0
3.0,3.0,83.0
5.0,6.0,86.0
2.0,2.0,51.0
6.0,7.0,43.0
4.0,4.0,83.0
7.0,7.0,82.0
NA,2.0,39.0
3.0,4.0,56.0
5.0,6.0,51.0
2.0,5.0,46.0
3.0,5.0,40.0
2.0,4.0,62.0
2.0,5.0,51.0
2.0,3.0,30.0
4.0,5.0,63.0
2.0,2.0,28.0
3.0,4.0,36.0
6.0,8.0,62.0
4.0,5.0,38.0
2.0,4.0,61.0
5.0,6.0,63.0
6.0,6.0,54.0
5.0,8.0,75.0
5.0,5.0,55.0
3.0,5.0,40.0
4.0,6.0,70.0
4.0,4.0,37.0
8.0,15.0,50.0
4.0,4.0,67.0
8.0,10.0,103.0
5.0,5.0,50.0
3.0,5.0,73.0
5.0,5.0,47.0
11.0,11.0,39.0
2.0,3.0,37.0
