MLE,MEAN,BBRC
317.125112,1259.183926,3.399886
335.419375,1822.384019,3.962885
692.487082,1453.731681,2.724145
580.868834,1378.030465,2.480196
661.079705,1614.154619,2.881239
572.932868,1800.820734,3.438924
628.128519,1431.623652,2.970846
1212.850505,1656.544968,9.285647
904.067124,1338.119514,2.767792
736.471128,1690.024227,8.57774
687.869736,1799.390738,10.630266
966.803007,707.211165,7.904417
1136.380725,577.841276,2.434598
1147.110135,543.894124,7.754846
1218.857254,379.842729,2.803694
957.322087,323.170365,3.039132
812.777087,348.775757,2.61334
1035.174886,345.550736,3.097684
1228.570301,420.11836,7.739036
1293.949957,462.828397,2.747964
1147.741947,366.972601,2.434396
1165.231906,344.28532,7.910533
940.441471,341.880041,12.765569
1006.353697,243.817495,2.131795
972.116139,356.455549,2.352859
1157.94648,524.047771,4.398132
1074.353495,414.665693,7.019787
884.639132,458.636946,2.335929
1391.299299,376.419944,7.384687
1703.485846,440.465066,5.437733
1196.914008,279.622593,2.570501
1423.171404,321.95152,9.653999
NA,NA,2.37067
1341.572379,1157.146901,3.282349
1620.543353,884.992598,12.875781
NA,1045.108861,12.563487
1463.799425,1525.325299,2.395992
1419.162998,979.835623,7.693305
1017.987187,1670.288134,2.34326
1357.013468,1512.316239,2.522584
1594.562828,1361.976132,8.467564
1472.689691,1785.291866,7.80503
1499.389741,1319.207612,2.387029
NA,NA,2.349615
1108.162479,1865.056796,7.017539
1131.250637,1637.024921,8.017356
1505.738047,1930.094108,13.089979
1626.921695,1156.272649,2.389574
NA,1899.070194,2.711635
819.310189,1454.331525,7.431631
2432.84583,1623.324828,7.248537
1123.299213,1360.959881,7.626911
3569.09294,656.475336,10.325459
4346.010116,499.323278,2.722913
NA,NA,2.049741
2944.693977,1091.739612,5.540911
662.918731,1091.228988,2.705932
504.643049,884.303719,2.64761
NA,NA,2.323933
NA,NA,1.997662
693.783185,1285.761564,2.76708
526.702977,1098.891084,2.352112
639.047148,2008.967626,2.269825
NA,1250.171738,2.040855
265.192843,5171.084553,2.849656
332.382101,863.069325,2.510061
586.534623,1099.9728,2.598423
717.261995,438.344934,2.642558
667.133653,405.185681,3.147656
726.335736,387.55472,2.758454
605.035227,307.433035,2.920285
NA,315.676456,2.029496
265.52784,427.33604,2.073535
560.857347,608.576984,2.568054
535.516757,431.861203,2.697752
487.743465,653.101086,2.566502
782.92809,426.686841,2.349912
950.369612,393.386139,2.862068
850.616295,263.983365,2.964833
891.371951,309.077453,2.370054
608.387849,337.163558,2.340004
766.495605,498.445074,2.543379
1043.57056,579.433992,2.808831
1146.085286,602.557025,2.369703
1278.116121,390.135195,2.714088
885.675278,416.966587,2.859265
669.901742,364.464427,2.571002
1177.885644,381.243934,2.13304
1691.734081,358.270552,2.358184
1805.036994,562.201777,2.051558
1986.97951,513.772696,2.381422
1747.732311,594.614738,1.97868
1298.897316,477.809716,2.432974
1531.573527,707.051176,2.268057
1799.597338,857.723473,2.949749
1749.619062,708.155289,3.973671
1792.750747,690.616277,2.725684
1390.8751,951.75712,2.476169
1352.61496,1010.508022,3.418659
1874.629781,883.365062,3.71404
