MLE,MEAN,BBRC
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
14,14,14
