MLE,MEAN,BBRC
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
NA,NA,NA
14.0,14.0,NA
14.0,14.0,NA
NA,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
NA,NA,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
NA,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
NA,NA,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
NA,NA,NA
NA,NA,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
NA,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
NA,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
14.0,14.0,NA
