MLE,MEAN,BBRC
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
NA,NA,NA
15.0,15.0,NA
15.0,15.0,NA
NA,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
NA,NA,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
NA,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
NA,NA,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
NA,NA,NA
NA,NA,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
NA,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
NA,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
15.0,15.0,NA
