MLE,MEAN,BBRC
47.0,46.0,NA
86.0,87.0,NA
41.0,38.0,NA
51.0,49.0,NA
46.0,46.0,NA
56.0,56.0,NA
65.0,64.0,NA
37.0,36.0,NA
70.0,69.0,NA
50.0,48.0,NA
50.0,49.0,NA
42.0,42.0,NA
51.0,43.0,NA
64.0,61.0,NA
75.0,73.0,NA
59.0,60.0,NA
53.0,52.0,NA
74.0,70.0,NA
62.0,60.0,NA
58.0,53.0,NA
46.0,44.0,NA
59.0,57.0,NA
41.0,40.0,NA
47.0,46.0,NA
73.0,73.0,NA
44.0,44.0,NA
55.0,55.0,NA
65.0,65.0,NA
63.0,61.0,NA
64.0,63.0,NA
47.0,46.0,NA
54.0,54.0,NA
NA,NA,NA
60.0,59.0,NA
75.0,73.0,NA
NA,60.0,NA
52.0,50.0,NA
52.0,50.0,NA
57.0,55.0,NA
52.0,52.0,NA
45.0,46.0,NA
49.0,47.0,NA
51.0,50.0,NA
NA,NA,NA
73.0,68.0,NA
22.0,21.0,NA
34.0,34.0,NA
90.0,89.0,NA
NA,65.0,NA
45.0,45.0,NA
60.0,57.0,NA
89.0,84.0,NA
51.0,43.0,NA
52.0,52.0,NA
NA,NA,NA
75.0,73.0,NA
76.0,74.0,NA
47.0,40.0,NA
NA,NA,NA
NA,NA,NA
78.0,76.0,NA
62.0,62.0,NA
46.0,44.0,NA
NA,46.0,NA
38.0,38.0,NA
87.0,87.0,NA
74.0,73.0,NA
73.0,73.0,NA
50.0,49.0,NA
88.0,88.0,NA
62.0,62.0,NA
NA,42.0,NA
50.0,49.0,NA
42.0,41.0,NA
45.0,42.0,NA
44.0,42.0,NA
52.0,50.0,NA
62.0,59.0,NA
39.0,38.0,NA
68.0,67.0,NA
37.0,37.0,NA
27.0,26.0,NA
64.0,62.0,NA
35.0,34.0,NA
74.0,72.0,NA
68.0,67.0,NA
45.0,45.0,NA
67.0,64.0,NA
37.0,37.0,NA
36.0,34.0,NA
63.0,61.0,NA
49.0,49.0,NA
48.0,41.0,NA
66.0,66.0,NA
80.0,78.0,NA
39.0,39.0,NA
75.0,73.0,NA
53.0,53.0,NA
18.0,18.0,NA
39.0,38.0,NA
