MLE,MEAN,BBRC
1409.0,1409.0,NA
1271.0,1271.0,NA
1430.0,1430.0,NA
1602.0,1602.0,NA
1353.0,1353.0,NA
1267.0,1267.0,NA
1500.0,1500.0,NA
3251.0,3251.0,NA
1335.0,1335.0,NA
1091.0,1091.0,NA
1313.0,1313.0,NA
1343.0,1343.0,NA
1510.0,1510.0,NA
1488.0,1488.0,NA
1543.0,1543.0,NA
1266.0,1266.0,NA
1490.0,1490.0,NA
1340.0,1340.0,NA
1544.0,1544.0,NA
1304.0,1304.0,NA
1477.0,1477.0,NA
1619.0,1619.0,NA
1137.0,1137.0,NA
967.0,967.0,NA
1149.0,1149.0,NA
1414.0,1414.0,NA
1123.0,1123.0,NA
1458.0,1458.0,NA
999.0,999.0,NA
1685.0,1685.0,NA
1098.0,1098.0,NA
1413.0,1413.0,NA
NA,NA,NA
2646.0,2646.0,NA
1233.0,1233.0,NA
NA,1468.0,NA
955.0,955.0,NA
1983.0,1983.0,NA
1655.0,1655.0,NA
1230.0,1230.0,NA
1441.0,1441.0,NA
1158.0,1158.0,NA
1258.0,1258.0,NA
NA,NA,NA
2085.0,2085.0,NA
1193.0,1193.0,NA
1525.0,1525.0,NA
1537.0,1537.0,NA
NA,1287.0,NA
1316.0,1316.0,NA
2017.0,2017.0,NA
1473.0,1473.0,NA
1685.0,1685.0,NA
931.0,931.0,NA
NA,NA,NA
1448.0,1448.0,NA
1390.0,1390.0,NA
1418.0,1418.0,NA
NA,NA,NA
NA,NA,NA
1467.0,1467.0,NA
1066.0,1066.0,NA
1279.0,1279.0,NA
NA,1157.0,NA
905.0,905.0,NA
1081.0,1081.0,NA
1648.0,1648.0,NA
1777.0,1777.0,NA
1227.0,1227.0,NA
1131.0,1131.0,NA
1320.0,1320.0,NA
NA,1108.0,NA
963.0,963.0,NA
1421.0,1421.0,NA
1066.0,1066.0,NA
1558.0,1558.0,NA
1490.0,1490.0,NA
1307.0,1307.0,NA
1147.0,1147.0,NA
1185.0,1185.0,NA
1138.0,1138.0,NA
1228.0,1228.0,NA
1071.0,1071.0,NA
1262.0,1262.0,NA
1286.0,1286.0,NA
1181.0,1181.0,NA
1373.0,1373.0,NA
1276.0,1276.0,NA
1313.0,1313.0,NA
1759.0,1759.0,NA
1281.0,1281.0,NA
1005.0,1005.0,NA
1524.0,1524.0,NA
1196.0,1196.0,NA
1106.0,1106.0,NA
1323.0,1323.0,NA
1172.0,1172.0,NA
1191.0,1191.0,NA
1600.0,1600.0,NA
1609.0,1609.0,NA
