MLE,MEAN,BBRC
156.0,156.0,456.0
278.0,278.0,493.0
139.0,139.0,449.0
303.0,303.0,477.0
134.0,134.0,439.0
294.0,294.0,456.0
347.0,347.0,505.0
174.0,174.0,415.0
137.0,148.0,490.0
224.0,224.0,465.0
213.0,218.0,477.0
373.0,373.0,523.0
141.0,141.0,434.0
202.0,218.0,449.0
207.0,207.0,458.0
109.0,109.0,442.0
138.0,138.0,405.0
291.0,319.0,482.0
296.0,322.0,470.0
245.0,232.0,454.0
158.0,158.0,457.0
290.0,292.0,476.0
246.0,246.0,449.0
262.0,262.0,497.0
142.0,142.0,441.0
180.0,180.0,415.0
299.0,311.0,470.0
142.0,142.0,373.0
309.0,303.0,432.0
356.0,356.0,536.0
225.0,225.0,492.0
315.0,315.0,515.0
138.0,138.0,418.0
297.0,294.0,457.0
206.0,206.0,480.0
166.0,183.0,460.0
149.0,149.0,406.0
221.0,221.0,463.0
144.0,183.0,448.0
85.0,85.0,429.0
250.0,250.0,429.0
157.0,320.0,484.0
143.0,230.0,499.0
220.0,226.0,442.0
216.0,220.0,461.0
138.0,274.0,457.0
155.0,193.0,457.0
140.0,145.0,462.0
154.0,154.0,463.0
155.0,145.0,517.0
280.0,280.0,495.0
251.0,138.0,452.0
185.0,258.0,503.0
145.0,145.0,418.0
211.0,298.0,453.0
159.0,227.0,463.0
313.0,316.0,515.0
145.0,151.0,440.0
318.0,327.0,502.0
147.0,147.0,454.0
131.0,151.0,433.0
150.0,241.0,469.0
154.0,150.0,427.0
98.0,134.0,504.0
247.0,283.0,498.0
149.0,215.0,472.0
242.0,242.0,481.0
285.0,285.0,485.0
143.0,156.0,447.0
164.0,164.0,420.0
151.0,191.0,466.0
148.0,148.0,469.0
176.0,179.0,492.0
133.0,202.0,475.0
110.0,110.0,429.0
140.0,230.0,433.0
144.0,255.0,434.0
323.0,359.0,473.0
220.0,220.0,432.0
280.0,281.0,503.0
152.0,219.0,478.0
148.0,148.0,467.0
357.0,300.0,488.0
340.0,328.0,467.0
102.0,142.0,405.0
137.0,145.0,475.0
92.0,129.0,409.0
260.0,254.0,436.0
200.0,237.0,466.0
142.0,223.0,471.0
259.0,259.0,508.0
146.0,146.0,405.0
310.0,310.0,488.0
283.0,257.0,475.0
286.0,290.0,443.0
224.0,224.0,453.0
290.0,290.0,468.0
286.0,236.0,483.0
149.0,155.0,470.0
278.0,278.0,408.0
