MLE,MEAN,BBRC
11.0,12.0,63.0
17.0,17.0,72.0
11.0,11.0,74.0
13.0,20.0,70.0
8.0,8.0,69.0
23.0,24.0,85.0
25.0,28.0,95.0
15.0,15.0,47.0
14.0,15.0,67.0
11.0,15.0,99.0
15.0,22.0,86.0
33.0,33.0,111.0
9.0,9.0,57.0
15.0,19.0,84.0
17.0,20.0,64.0
11.0,11.0,76.0
12.0,13.0,78.0
32.0,37.0,89.0
17.0,24.0,90.0
19.0,19.0,82.0
18.0,20.0,112.0
15.0,15.0,59.0
16.0,16.0,66.0
16.0,23.0,87.0
8.0,8.0,67.0
22.0,28.0,81.0
26.0,27.0,98.0
16.0,16.0,43.0
31.0,28.0,69.0
17.0,19.0,112.0
20.0,20.0,115.0
32.0,37.0,88.0
11.0,11.0,79.0
24.0,28.0,80.0
9.0,10.0,95.0
23.0,21.0,89.0
14.0,14.0,79.0
12.0,16.0,77.0
7.0,9.0,74.0
9.0,9.0,51.0
10.0,11.0,72.0
14.0,19.0,80.0
12.0,15.0,150.0
8.0,11.0,64.0
14.0,15.0,71.0
7.0,11.0,64.0
20.0,21.0,73.0
12.0,14.0,68.0
10.0,10.0,67.0
9.0,9.0,94.0
12.0,13.0,106.0
9.0,8.0,98.0
15.0,21.0,95.0
13.0,15.0,68.0
13.0,17.0,80.0
8.0,12.0,82.0
25.0,32.0,101.0
12.0,13.0,83.0
34.0,35.0,98.0
8.0,8.0,79.0
18.0,21.0,77.0
9.0,14.0,74.0
14.0,13.0,58.0
11.0,16.0,82.0
9.0,10.0,81.0
9.0,14.0,58.0
23.0,27.0,85.0
13.0,22.0,82.0
13.0,19.0,102.0
14.0,17.0,77.0
15.0,16.0,90.0
10.0,13.0,102.0
21.0,23.0,75.0
10.0,11.0,95.0
8.0,9.0,51.0
11.0,14.0,58.0
11.0,21.0,64.0
26.0,34.0,123.0
9.0,9.0,70.0
11.0,13.0,63.0
8.0,11.0,79.0
13.0,13.0,109.0
24.0,24.0,69.0
18.0,21.0,74.0
11.0,12.0,64.0
12.0,13.0,86.0
9.0,11.0,62.0
16.0,19.0,93.0
15.0,21.0,106.0
12.0,16.0,69.0
14.0,14.0,76.0
12.0,12.0,71.0
11.0,15.0,74.0
12.0,13.0,75.0
20.0,22.0,83.0
15.0,19.0,79.0
11.0,14.0,74.0
9.0,9.0,79.0
9.0,11.0,96.0
11.0,12.0,75.0
