MLE,MEAN,BBRC
805.648594,1601.569054,3.844841
992.135369,1851.207528,4.16219
919.445048,1279.043504,2.721825
1276.788217,684.981209,3.324455
1036.355183,1660.948197,2.659093
1033.454296,1415.282167,2.811453
1065.640682,1231.947327,3.936126
1250.897622,574.679191,8.121673
1264.301251,1297.982106,3.429615
1483.039345,1606.822275,7.816798
1208.965794,1122.553438,4.401161
1279.790625,2370.501862,2.815392
1410.685048,724.158582,6.082214
1611.806248,906.257204,8.222084
352.974225,1110.034519,3.619327
1730.771628,492.795186,2.694134
1094.360106,403.174678,2.996935
1133.586452,779.249283,3.249801
1403.443291,827.755871,12.61151
1207.162775,628.846313,3.239832
1058.472784,667.701307,8.258646
1381.883077,504.901728,2.660517
1956.984568,436.085467,3.638464
1809.973351,614.068317,3.118355
1594.492515,420.890238,4.537186
1778.480402,516.886069,2.641984
1806.094069,506.837867,2.416635
1645.035861,715.748027,2.417052
1684.705196,442.875515,7.773632
1136.255359,408.268846,3.387655
1780.477917,554.373539,2.806048
2034.190236,573.562021,4.131467
1760.714058,448.900532,2.675663
1533.271009,472.333211,2.335217
1320.951168,716.289742,3.212035
1805.161222,560.023545,2.733516
2129.144461,945.009773,2.682184
1914.338695,799.875507,2.834279
946.923735,614.179301,2.635698
273.16927,550.178705,2.780274
5564.190214,529.443784,7.588942
5041.849468,390.224502,2.68827
406.867874,592.834208,8.012745
2335.441198,378.217099,13.91401
707.974512,403.768956,4.638132
497.041829,361.7509,2.643489
475.497247,307.98271,2.704823
772.818899,370.729677,2.686439
745.192837,498.452201,2.358883
734.552894,376.169898,2.664333
885.54119,456.779084,2.649319
491.889344,508.731521,2.718272
675.337998,372.25793,3.823873
830.120087,374.434975,2.720415
980.653642,418.52771,2.994245
833.922833,453.035734,3.535312
578.012961,601.959111,2.677111
724.871734,628.533297,2.621228
588.695708,484.084893,2.986642
665.761366,413.888949,2.334316
1198.305413,394.325766,2.978588
1175.794265,552.369371,2.541199
883.640698,649.535795,3.057494
972.787591,709.439721,2.664936
1209.71185,599.022425,2.304976
1213.364624,434.277985,2.739515
1753.733983,604.115759,2.681492
1074.960294,638.058907,2.796515
1384.619927,704.720405,3.089174
2157.855762,807.414603,2.605715
2295.506442,594.787325,2.661252
2223.899874,418.624154,2.876184
1722.279106,424.650939,2.518052
2023.918413,514.562402,3.462193
2234.737446,592.718435,4.454077
2251.075708,577.161953,4.893482
1826.95233,347.582659,3.748077
1716.180733,414.289598,4.11724
2260.054605,380.332907,2.804915
1772.229708,367.802879,4.310271
1949.698139,923.690322,4.916953
1658.42959,1019.079141,4.078204
2181.450209,786.533444,4.311805
2129.868606,987.903488,3.641454
1510.390814,1089.950842,5.199624
1707.349726,975.580216,3.396195
2076.428319,644.674736,3.686369
2315.974929,572.821325,3.553151
476.010212,662.25102,4.967331
7275.2246,679.496104,5.605287
1615.434221,815.361017,6.192984
1933.66645,300.94957,3.468682
1505.357831,969.629055,3.402853
2097.934707,1176.540379,4.247586
1751.423578,1154.45489,4.48761
2617.398262,901.810271,5.645743
2157.409903,1441.450316,4.241569
2474.53283,1997.940859,4.192098
1722.591884,1883.569423,3.146437
2184.97918,2029.137739,2.838041
