MLE,MEAN,BBRC
61.0,60.0,NA
84.0,84.0,NA
85.0,85.0,NA
76.0,69.0,NA
69.0,69.0,NA
78.0,77.0,NA
62.0,59.0,NA
53.0,53.0,NA
57.0,56.0,NA
100.0,96.0,NA
75.0,68.0,NA
76.0,76.0,NA
31.0,31.0,NA
90.0,86.0,NA
52.0,49.0,NA
69.0,69.0,NA
87.0,86.0,NA
65.0,60.0,NA
92.0,85.0,NA
58.0,58.0,NA
133.0,131.0,NA
55.0,55.0,NA
68.0,68.0,NA
80.0,73.0,NA
58.0,58.0,NA
66.0,60.0,NA
74.0,73.0,NA
46.0,46.0,NA
41.0,44.0,NA
92.0,90.0,NA
100.0,100.0,NA
64.0,59.0,NA
53.0,53.0,NA
66.0,62.0,NA
102.0,101.0,NA
77.0,79.0,NA
66.0,66.0,NA
91.0,87.0,NA
64.0,62.0,NA
52.0,52.0,NA
100.0,99.0,NA
86.0,81.0,NA
166.0,163.0,NA
63.0,60.0,NA
78.0,77.0,NA
50.0,46.0,NA
62.0,61.0,NA
62.0,60.0,NA
89.0,89.0,NA
79.0,79.0,NA
81.0,80.0,NA
77.0,78.0,NA
75.0,69.0,NA
73.0,71.0,NA
80.0,76.0,NA
94.0,90.0,NA
96.0,89.0,NA
80.0,79.0,NA
70.0,69.0,NA
104.0,104.0,NA
80.0,77.0,NA
81.0,76.0,NA
68.0,69.0,NA
83.0,78.0,NA
85.0,84.0,NA
65.0,60.0,NA
83.0,79.0,NA
91.0,82.0,NA
73.0,67.0,NA
64.0,61.0,NA
83.0,82.0,NA
103.0,100.0,NA
60.0,58.0,NA
91.0,90.0,NA
53.0,52.0,NA
70.0,67.0,NA
77.0,67.0,NA
77.0,69.0,NA
76.0,76.0,NA
62.0,60.0,NA
67.0,64.0,NA
73.0,73.0,NA
39.0,39.0,NA
79.0,76.0,NA
35.0,34.0,NA
79.0,78.0,NA
71.0,69.0,NA
70.0,67.0,NA
89.0,83.0,NA
61.0,57.0,NA
58.0,58.0,NA
69.0,69.0,NA
61.0,57.0,NA
46.0,45.0,NA
70.0,68.0,NA
66.0,62.0,NA
78.0,75.0,NA
73.0,73.0,NA
99.0,97.0,NA
70.0,69.0,NA
