MLE,MEAN,BBRC
1312.0,1312.0,NA
1497.0,1497.0,NA
1844.0,1844.0,NA
1244.0,1244.0,NA
1237.0,1237.0,NA
1547.0,1547.0,NA
1150.0,1150.0,NA
911.0,911.0,NA
1298.0,1298.0,NA
1273.0,1273.0,NA
1454.0,1454.0,NA
969.0,969.0,NA
1274.0,1274.0,NA
1310.0,1310.0,NA
1374.0,1374.0,NA
1185.0,1185.0,NA
1431.0,1431.0,NA
977.0,977.0,NA
1196.0,1196.0,NA
1263.0,1263.0,NA
1691.0,1691.0,NA
1245.0,1245.0,NA
1276.0,1276.0,NA
1579.0,1579.0,NA
1274.0,1274.0,NA
1804.0,1804.0,NA
1224.0,1224.0,NA
1410.0,1410.0,NA
1173.0,1173.0,NA
1275.0,1275.0,NA
1174.0,1174.0,NA
1131.0,1131.0,NA
1340.0,1340.0,NA
1125.0,1125.0,NA
1221.0,1221.0,NA
1366.0,1366.0,NA
1479.0,1479.0,NA
1266.0,1266.0,NA
1310.0,1310.0,NA
1160.0,1160.0,NA
1163.0,1163.0,NA
1143.0,1143.0,NA
1512.0,1512.0,NA
1484.0,1484.0,NA
1331.0,1331.0,NA
1138.0,1138.0,NA
1372.0,1372.0,NA
1625.0,1625.0,NA
1353.0,1353.0,NA
1527.0,1527.0,NA
1283.0,1283.0,NA
1752.0,1752.0,NA
1596.0,1596.0,NA
1772.0,1772.0,NA
930.0,930.0,NA
1240.0,1240.0,NA
1708.0,1708.0,NA
2960.0,2960.0,NA
1044.0,1044.0,NA
1628.0,1628.0,NA
1358.0,1358.0,NA
1221.0,1221.0,NA
882.0,882.0,NA
1338.0,1338.0,NA
1223.0,1223.0,NA
1567.0,1567.0,NA
3637.0,3637.0,NA
1206.0,1206.0,NA
1279.0,1279.0,NA
2479.0,2479.0,NA
1424.0,1424.0,NA
847.0,847.0,NA
1320.0,1320.0,NA
1347.0,1347.0,NA
1575.0,1575.0,NA
1420.0,1420.0,NA
1241.0,1241.0,NA
1276.0,1276.0,NA
1271.0,1271.0,NA
1600.0,1600.0,NA
1186.0,1186.0,NA
1679.0,1679.0,NA
1175.0,1175.0,NA
1260.0,1260.0,NA
1645.0,1645.0,NA
1490.0,1490.0,NA
1398.0,1398.0,NA
1274.0,1274.0,NA
1106.0,1106.0,NA
1520.0,1520.0,NA
1266.0,1266.0,NA
1414.0,1414.0,NA
1172.0,1172.0,NA
1203.0,1203.0,NA
1384.0,1384.0,NA
1598.0,1598.0,NA
1333.0,1333.0,NA
1346.0,1346.0,NA
2717.0,2717.0,NA
1739.0,1739.0,NA
