MLE,MEAN,BBRC
283.0,275.0,378.0
276.0,276.0,340.0
281.0,281.0,366.0
317.0,318.0,368.0
347.0,287.0,372.0
331.0,278.0,360.0
294.0,294.0,364.0
266.0,266.0,353.0
247.0,247.0,365.0
275.0,270.0,366.0
281.0,281.0,358.0
228.0,234.0,355.0
333.0,333.0,368.0
296.0,296.0,375.0
247.0,256.0,374.0
229.0,240.0,347.0
201.0,248.0,369.0
257.0,257.0,371.0
287.0,293.0,376.0
273.0,273.0,366.0
291.0,293.0,363.0
273.0,277.0,367.0
240.0,240.0,369.0
283.0,285.0,373.0
247.0,251.0,343.0
311.0,275.0,363.0
270.0,268.0,374.0
293.0,288.0,364.0
253.0,253.0,370.0
268.0,268.0,368.0
292.0,287.0,381.0
286.0,285.0,377.0
300.0,291.0,374.0
247.0,227.0,373.0
342.0,290.0,369.0
268.0,270.0,374.0
300.0,303.0,368.0
285.0,257.0,369.0
300.0,300.0,366.0
300.0,308.0,370.0
280.0,281.0,366.0
290.0,290.0,377.0
284.0,269.0,359.0
287.0,290.0,363.0
293.0,288.0,368.0
192.0,192.0,351.0
348.0,302.0,363.0
304.0,285.0,366.0
321.0,308.0,380.0
225.0,234.0,364.0
286.0,276.0,372.0
292.0,292.0,372.0
252.0,252.0,367.0
276.0,276.0,378.0
241.0,216.0,361.0
239.0,247.0,372.0
255.0,257.0,366.0
232.0,232.0,365.0
260.0,268.0,362.0
258.0,267.0,348.0
283.0,267.0,360.0
266.0,247.0,319.0
311.0,292.0,377.0
352.0,294.0,347.0
245.0,245.0,373.0
280.0,256.0,350.0
295.0,267.0,331.0
211.0,228.0,325.0
288.0,288.0,362.0
266.0,270.0,358.0
280.0,285.0,353.0
307.0,295.0,368.0
275.0,275.0,359.0
287.0,276.0,367.0
253.0,216.0,350.0
332.0,266.0,373.0
277.0,277.0,368.0
299.0,265.0,354.0
246.0,254.0,375.0
330.0,274.0,371.0
312.0,307.0,372.0
285.0,256.0,351.0
253.0,266.0,365.0
254.0,271.0,335.0
288.0,289.0,372.0
259.0,272.0,373.0
267.0,267.0,362.0
308.0,301.0,380.0
367.0,331.0,379.0
199.0,220.0,327.0
313.0,313.0,366.0
346.0,279.0,364.0
254.0,279.0,362.0
305.0,300.0,371.0
251.0,251.0,319.0
205.0,208.0,357.0
235.0,273.0,354.0
312.0,312.0,375.0
284.0,280.0,377.0
218.0,257.0,356.0
