MLE,MEAN,BBRC
19.0,20.0,70.0
26.0,28.0,47.0
17.0,19.0,46.0
19.0,19.0,70.0
32.0,30.0,75.0
24.0,24.0,58.0
49.0,48.0,68.0
15.0,15.0,38.0
28.0,30.0,63.0
27.0,31.0,63.0
23.0,24.0,49.0
14.0,15.0,30.0
25.0,24.0,46.0
35.0,38.0,77.0
12.0,14.0,33.0
12.0,14.0,42.0
11.0,12.0,56.0
27.0,29.0,51.0
34.0,37.0,72.0
26.0,26.0,62.0
21.0,26.0,46.0
16.0,17.0,47.0
16.0,14.0,66.0
28.0,33.0,69.0
11.0,15.0,54.0
21.0,23.0,59.0
39.0,39.0,64.0
21.0,21.0,57.0
26.0,26.0,69.0
38.0,38.0,55.0
32.0,30.0,69.0
38.0,34.0,69.0
45.0,43.0,86.0
11.0,12.0,55.0
19.0,17.0,53.0
23.0,29.0,52.0
19.0,20.0,61.0
21.0,20.0,69.0
21.0,24.0,66.0
28.0,33.0,59.0
22.0,25.0,57.0
40.0,42.0,83.0
31.0,29.0,59.0
29.0,32.0,64.0
33.0,31.0,77.0
14.0,14.0,55.0
37.0,36.0,71.0
53.0,44.0,67.0
57.0,49.0,72.0
16.0,18.0,61.0
19.0,23.0,68.0
25.0,26.0,44.0
21.0,21.0,54.0
20.0,22.0,72.0
9.0,10.0,47.0
19.0,20.0,52.0
27.0,31.0,66.0
8.0,9.0,45.0
21.0,22.0,54.0
12.0,17.0,54.0
37.0,36.0,75.0
14.0,19.0,50.0
35.0,38.0,74.0
36.0,31.0,51.0
23.0,20.0,82.0
23.0,22.0,36.0
29.0,29.0,53.0
9.0,10.0,53.0
36.0,36.0,66.0
22.0,24.0,65.0
28.0,29.0,55.0
35.0,37.0,71.0
15.0,17.0,49.0
25.0,22.0,62.0
9.0,8.0,36.0
24.0,21.0,66.0
13.0,13.0,62.0
23.0,23.0,42.0
12.0,12.0,46.0
20.0,19.0,73.0
32.0,37.0,74.0
24.0,24.0,40.0
18.0,19.0,44.0
19.0,23.0,61.0
32.0,32.0,78.0
18.0,22.0,55.0
28.0,29.0,58.0
43.0,38.0,74.0
51.0,47.0,72.0
16.0,18.0,68.0
24.0,25.0,63.0
34.0,32.0,63.0
18.0,20.0,63.0
37.0,37.0,69.0
23.0,27.0,41.0
15.0,22.0,61.0
15.0,22.0,51.0
30.0,32.0,76.0
22.0,25.0,80.0
11.0,17.0,48.0
