MLE,MEAN,BBRC
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
24.0,24.0,NA
