MLE,MEAN,BBRC
51.0,50.0,NA
32.0,30.0,NA
34.0,32.0,NA
51.0,51.0,NA
36.0,38.0,NA
45.0,45.0,NA
35.0,36.0,NA
28.0,28.0,NA
44.0,42.0,NA
49.0,45.0,NA
42.0,41.0,NA
24.0,23.0,NA
31.0,32.0,NA
46.0,43.0,NA
28.0,26.0,NA
44.0,42.0,NA
49.0,48.0,NA
34.0,32.0,NA
55.0,52.0,NA
40.0,40.0,NA
35.0,30.0,NA
44.0,43.0,NA
67.0,69.0,NA
43.0,38.0,NA
46.0,42.0,NA
39.0,37.0,NA
44.0,44.0,NA
40.0,40.0,NA
43.0,43.0,NA
33.0,33.0,NA
40.0,42.0,NA
38.0,42.0,NA
51.0,53.0,NA
59.0,58.0,NA
34.0,36.0,NA
43.0,37.0,NA
52.0,51.0,NA
53.0,54.0,NA
41.0,38.0,NA
35.0,30.0,NA
38.0,35.0,NA
50.0,48.0,NA
35.0,37.0,NA
41.0,38.0,NA
45.0,47.0,NA
46.0,46.0,NA
40.0,41.0,NA
20.0,29.0,NA
22.0,30.0,NA
45.0,43.0,NA
50.0,46.0,NA
36.0,35.0,NA
37.0,37.0,NA
58.0,56.0,NA
54.0,53.0,NA
38.0,37.0,NA
40.0,36.0,NA
34.0,33.0,NA
36.0,35.0,NA
50.0,45.0,NA
40.0,41.0,NA
43.0,38.0,NA
51.0,48.0,NA
32.0,37.0,NA
54.0,57.0,NA
32.0,33.0,NA
32.0,32.0,NA
53.0,52.0,NA
39.0,39.0,NA
43.0,41.0,NA
38.0,37.0,NA
49.0,47.0,NA
38.0,36.0,NA
48.0,51.0,NA
39.0,40.0,NA
50.0,53.0,NA
48.0,48.0,NA
33.0,33.0,NA
43.0,43.0,NA
44.0,45.0,NA
43.0,38.0,NA
35.0,35.0,NA
35.0,34.0,NA
54.0,50.0,NA
61.0,61.0,NA
42.0,38.0,NA
40.0,39.0,NA
37.0,42.0,NA
27.0,31.0,NA
54.0,52.0,NA
42.0,41.0,NA
33.0,35.0,NA
48.0,46.0,NA
40.0,40.0,NA
36.0,32.0,NA
46.0,39.0,NA
50.0,43.0,NA
55.0,53.0,NA
57.0,54.0,NA
44.0,38.0,NA
