MLE,MEAN,BBRC
277.0,277.0,NA
247.0,247.0,NA
224.0,224.0,NA
234.0,234.0,NA
300.0,300.0,NA
234.0,234.0,NA
266.0,266.0,NA
225.0,225.0,NA
208.0,208.0,NA
236.0,236.0,NA
193.0,193.0,NA
238.0,238.0,NA
290.0,290.0,NA
329.0,329.0,NA
243.0,243.0,NA
245.0,245.0,NA
282.0,282.0,NA
363.0,363.0,NA
298.0,298.0,NA
276.0,276.0,NA
254.0,254.0,NA
225.0,225.0,NA
221.0,221.0,NA
327.0,327.0,NA
330.0,330.0,NA
265.0,265.0,NA
228.0,228.0,NA
251.0,251.0,NA
213.0,213.0,NA
294.0,294.0,NA
242.0,242.0,NA
328.0,328.0,NA
218.0,218.0,NA
230.0,230.0,NA
243.0,243.0,NA
253.0,253.0,NA
247.0,247.0,NA
231.0,231.0,NA
255.0,255.0,NA
217.0,217.0,NA
239.0,239.0,NA
280.0,280.0,NA
320.0,320.0,NA
243.0,243.0,NA
261.0,261.0,NA
419.0,419.0,NA
240.0,240.0,NA
196.0,196.0,NA
207.0,207.0,NA
318.0,318.0,NA
328.0,328.0,NA
229.0,229.0,NA
294.0,294.0,NA
319.0,319.0,NA
229.0,229.0,NA
268.0,268.0,NA
347.0,347.0,NA
329.0,329.0,NA
267.0,267.0,NA
235.0,235.0,NA
257.0,257.0,NA
286.0,286.0,NA
291.0,291.0,NA
276.0,276.0,NA
315.0,315.0,NA
297.0,297.0,NA
296.0,296.0,NA
240.0,240.0,NA
317.0,317.0,NA
307.0,307.0,NA
230.0,230.0,NA
272.0,272.0,NA
298.0,298.0,NA
238.0,238.0,NA
258.0,258.0,NA
293.0,293.0,NA
310.0,310.0,NA
247.0,247.0,NA
284.0,284.0,NA
230.0,230.0,NA
206.0,206.0,NA
194.0,194.0,NA
310.0,310.0,NA
304.0,304.0,NA
253.0,253.0,NA
331.0,331.0,NA
339.0,339.0,NA
226.0,226.0,NA
270.0,270.0,NA
262.0,262.0,NA
284.0,284.0,NA
251.0,251.0,NA
241.0,241.0,NA
315.0,315.0,NA
280.0,280.0,NA
236.0,236.0,NA
256.0,256.0,NA
238.0,238.0,NA
239.0,239.0,NA
242.0,242.0,NA
