E1,E2,min_frequency,min_frequency_per_sample,bbrc_ds_nr_com,bbrc_ds_nr_f,bbrc_duration,merge_time,n_stripped_mss,n_stripped_cst,min_sampling_support,random_seed
-0.00145008893428159,0.00306542440594603,63,63.0,2018.0,284.0,6911.17796,10.9913837909698,1241.0,38.0,15.0,1
0.0136993992788314,0.020256845343638,63,63.0,2018.0,328.0,6874.569651,11.1037225723267,1187.0,37.0,15.0,2
-0.00256633236657943,0.0028868279306857,63,63.0,2021.0,296.0,7352.499573,11.5146102905273,1297.0,56.0,15.0,3
0.00573448254488816,0.011277799714795,63,63.0,2021.0,256.0,7244.928216,8.28842902183533,879.0,40.0,15.0,4
-0.00447951266088872,0.0061619965594914,63,63.0,2021.0,302.0,4332.572403,9.49395394325256,960.0,60.0,15.0,5
-0.000599461754112066,0.0035903911044272,63,63.0,2026.0,315.0,11215.292103,9.71892809867859,967.0,29.0,15.0,6
-0.00334764632649531,0.00343540315701079,63,63.0,2025.0,274.0,3571.74399,8.66577529907227,846.0,56.0,15.0,7
-0.00215116650945944,0.00339266199209366,63,63.0,2021.0,306.0,3903.867695,11.4162828922272,1308.0,56.0,15.0,8
-0.00304855374842847,0.00347244553678811,63,63.0,2026.0,236.0,3194.744458,8.65433692932129,1023.0,46.0,15.0,9
2.62016976716021e-05,0.00594052636841685,63,63.0,2018.0,338.0,4645.920881,9.24054980278015,1045.0,33.0,15.0,10
-0.00223007074387566,0.00392833226462924,63,63.0,2023.0,287.0,5378.942798,9.47065663337708,1017.0,56.0,15.0,11
0.00684121288209579,0.0109689237495209,63,63.0,2025.0,344.0,8529.065612,12.6824858188629,1379.0,38.0,15.0,12
0.00327157742276394,0.00691611874314853,63,63.0,2027.0,352.0,8127.306041,11.3253481388092,1194.0,41.0,15.0,13
0.00306135384436813,0.0106255982927973,63,63.0,1997.0,265.0,7734.39594,11.0423011779785,1308.0,40.0,15.0,14
-0.00042306172103755,0.00346414673843406,63,63.0,2021.0,382.0,7865.372939,9.84192562103271,981.0,46.0,15.0,15
-0.000274253770678727,0.00661921884268145,63,63.0,2022.0,338.0,2497.785099,10.8836946487427,1252.0,33.0,15.0,16
0.0109479961633734,0.0157273941802994,63,63.0,2019.0,272.0,1969.48995,9.52558207511902,1243.0,31.0,15.0,17
0.00544701598350911,0.0118183603211728,63,63.0,2025.0,274.0,6292.939661,15.5238242149353,1082.0,23.0,15.0,18
-0.00437218983176359,0.0043722852287155,63,63.0,2019.0,293.0,8252.384885,11.0196585655212,1084.0,36.0,15.0,19
0.010416835684286,0.0120365543394499,63,63.0,2017.0,300.0,2643.334846,8.54414701461792,1104.0,16.0,15.0,20
-0.000291547797238243,0.00571890034632376,63,63.0,2026.0,354.0,6763.78348,21.800112247467,1818.0,49.0,15.0,21
-0.00178088840963758,0.0021058301380618,63,63.0,2009.0,326.0,5532.185252,14.8310034275055,1060.0,36.0,15.0,22
6.41015458132402e-05,0.00664966100361737,63,63.0,2015.0,324.0,2156.96046,11.4632720947266,1342.0,26.0,15.0,23
0.00261411643482559,0.0114972591292278,63,63.0,2014.0,360.0,2367.654274,10.9679758548737,1169.0,58.0,15.0,24
-0.00217902083938919,0.00415126649817385,63,63.0,2023.0,285.0,3181.815924,14.452152967453,1218.0,27.0,15.0,25
0.0187872521206112,0.0235817192409222,63,63.0,2024.0,346.0,6910.254998,11.2138135433197,1121.0,25.0,15.0,26
-0.00513856236671484,0.00637664915796728,63,63.0,2006.0,304.0,6835.371929,11.9506478309631,1257.0,43.0,15.0,27
-0.000796228726579548,0.00196350012575958,63,63.0,2023.0,321.0,7482.555,11.5070984363556,1216.0,32.0,15.0,28
-0.00268330812143458,0.00268863947547159,63,63.0,2012.0,310.0,7246.672007,9.89287519454956,1001.0,47.0,15.0,29
-0.00283963374464833,0.00390678433239906,63,63.0,2025.0,253.0,1919.963478,8.28800749778748,865.0,37.0,15.0,30
-0.00522219578542761,0.00555211780892878,63,63.0,2027.0,275.0,10931.97142,10.4345214366913,1152.0,38.0,15.0,31
-0.00348132575115375,0.00530613408202697,63,63.0,2021.0,281.0,3677.544826,10.0212378501892,1118.0,45.0,15.0,32
-0.00300049287526679,0.00322736582520038,63,63.0,2022.0,299.0,4028.122258,12.2095742225647,1455.0,57.0,15.0,33
-0.00128006601360286,0.00191691508751208,63,63.0,2019.0,423.0,5125.66879,11.5582001209259,1318.0,26.0,15.0,34
-0.00143997920494853,0.00290334406498131,63,63.0,2017.0,345.0,6190.78563,20.4065282344818,1698.0,37.0,15.0,35
