E1,E2,min_frequency,min_frequency_per_sample,bbrc_ds_nr_com,bbrc_ds_nr_f,bbrc_duration,merge_time,n_stripped_mss,n_stripped_cst,min_sampling_support,random_seed
0.170508571428571,0.171725714285714,24,NA,378.0,70.0,1.989634,NA,NA,NA,NA,1
0.0751617021276596,0.0763021276595745,24,NA,340.0,47.0,3.130424,NA,NA,NA,NA,2
0.368458695652174,0.368963043478261,24,NA,366.0,46.0,4.435237,NA,NA,NA,NA,3
0.530991428571429,0.530991428571429,24,NA,368.0,70.0,2.507583,NA,NA,NA,NA,4
0.0463746666666667,0.0464626666666667,24,NA,372.0,75.0,2.380378,NA,NA,NA,NA,5
0.230198275862069,0.230198275862069,24,NA,360.0,58.0,2.428,NA,NA,NA,NA,6
0.115710294117647,0.119045588235294,24,NA,364.0,68.0,2.405995,NA,NA,NA,NA,7
0.204942105263158,0.204942105263158,24,NA,353.0,38.0,4.604053,NA,NA,NA,NA,8
0.0617968253968254,0.0648984126984127,24,NA,365.0,63.0,2.664903,NA,NA,NA,NA,9
0.0100555555555556,0.0164492063492063,24,NA,366.0,63.0,3.732205,NA,NA,NA,NA,10
0.313804081632653,0.313804081632653,24,NA,358.0,49.0,7.444703,NA,NA,NA,NA,11
0.0173833333333333,0.0289566666666667,24,NA,355.0,30.0,7.051682,NA,NA,NA,NA,12
0.467682608695652,0.467686956521739,24,NA,368.0,46.0,6.526758,NA,NA,NA,NA,13
0.263328571428571,0.263918181818182,24,NA,375.0,77.0,2.382088,NA,NA,NA,NA,14
0.2398,0.239927272727273,24,NA,374.0,33.0,7.480256,NA,NA,NA,NA,15
0.180207142857143,0.181745238095238,24,NA,347.0,42.0,1.988046,NA,NA,NA,NA,16
0.0414535714285714,0.0478714285714286,24,NA,369.0,56.0,7.311515,NA,NA,NA,NA,17
0.0266352941176471,0.035478431372549,24,NA,371.0,51.0,2.486202,NA,NA,NA,NA,18
0.323393055555556,0.323393055555556,24,NA,376.0,72.0,11.507086,NA,NA,NA,NA,19
0.0518903225806452,0.0535129032258064,24,NA,366.0,62.0,2.004421,NA,NA,NA,NA,20
0.0388021739130435,0.0406456521739131,24,NA,363.0,46.0,2.037878,NA,NA,NA,NA,21
0.292251063829787,0.292251063829787,24,NA,367.0,47.0,16.123859,NA,NA,NA,NA,22
0.273745454545455,0.275663636363636,24,NA,369.0,66.0,9.338162,NA,NA,NA,NA,23
0.250584057971015,0.250636231884058,24,NA,373.0,69.0,1.994137,NA,NA,NA,NA,24
0.363138888888889,0.363246296296296,24,NA,343.0,54.0,2.74861,NA,NA,NA,NA,25
0.290054237288136,0.290054237288136,24,NA,363.0,59.0,7.197771,NA,NA,NA,NA,26
0.241346875,0.241346875,24,NA,374.0,64.0,7.058109,NA,NA,NA,NA,27
0.186517543859649,0.187033333333333,24,NA,364.0,57.0,7.786311,NA,NA,NA,NA,28
0.0325246376811594,0.0393739130434783,24,NA,370.0,69.0,13.1952,NA,NA,NA,NA,29
0.0390036363636364,0.0422254545454545,24,NA,368.0,55.0,2.494926,NA,NA,NA,NA,30
0.322204347826087,0.322375362318841,24,NA,381.0,69.0,7.35245,NA,NA,NA,NA,31
0.33268115942029,0.33268115942029,24,NA,377.0,69.0,3.626336,NA,NA,NA,NA,32
0.0641825581395349,0.0647058139534884,24,NA,374.0,86.0,3.088249,NA,NA,NA,NA,33
0.390954545454546,0.391496363636364,24,NA,373.0,55.0,2.297979,NA,NA,NA,NA,34
0.193935849056604,0.196267924528302,24,NA,369.0,53.0,7.256386,NA,NA,NA,NA,35
0.379103846153846,0.379107692307692,24,NA,374.0,52.0,2.353118,NA,NA,NA,NA,36
0.412149180327869,0.412149180327869,24,NA,368.0,61.0,7.059357,NA,NA,NA,NA,37
0.0492797101449275,0.0523811594202899,24,NA,369.0,69.0,2.34389,NA,NA,NA,NA,38
0.0461969696969697,0.0480939393939394,24,NA,366.0,66.0,7.36249,NA,NA,NA,NA,39
0.274691525423729,0.274691525423729,24,NA,370.0,59.0,3.495941,NA,NA,NA,NA,40
0.187598245614035,0.187598245614035,24,NA,366.0,57.0,2.085917,NA,NA,NA,NA,41
0.408363855421687,0.408363855421687,24,NA,377.0,83.0,10.331606,NA,NA,NA,NA,42
0.409654237288136,0.411118644067797,24,NA,359.0,59.0,10.109257,NA,NA,NA,NA,43
0.0447953125,0.0450703125,24,NA,363.0,64.0,2.524297,NA,NA,NA,NA,44
0.333166233766234,0.333166233766234,24,NA,368.0,77.0,2.81307,NA,NA,NA,NA,45
0.341267272727273,0.341267272727273,24,NA,351.0,55.0,2.498565,NA,NA,NA,NA,46
0.126640845070423,0.130314084507042,24,NA,363.0,71.0,7.04327,NA,NA,NA,NA,47
0.0977850746268657,0.0985671641791045,24,NA,366.0,67.0,2.881195,NA,NA,NA,NA,48
0.428247222222222,0.428247222222222,24,NA,380.0,72.0,2.059999,NA,NA,NA,NA,49
0.0477245901639345,0.0513573770491803,24,NA,364.0,61.0,2.437371,NA,NA,NA,NA,50
0.145202941176471,0.145202941176471,24,NA,372.0,68.0,2.413313,NA,NA,NA,NA,51
0.0921795454545455,0.101202272727273,24,NA,372.0,44.0,2.227196,NA,NA,NA,NA,52
0.0285833333333333,0.0346388888888889,24,NA,367.0,54.0,8.713114,NA,NA,NA,NA,53
0.184894444444444,0.186130555555556,24,NA,378.0,72.0,2.870666,NA,NA,NA,NA,54
0.199502127659574,0.199872340425532,24,NA,361.0,47.0,2.059042,NA,NA,NA,NA,55
0.0689903846153846,0.0708057692307692,24,NA,372.0,52.0,2.057428,NA,NA,NA,NA,56
0.0111272727272727,0.0166727272727273,24,NA,366.0,66.0,6.85624,NA,NA,NA,NA,57
0.200091111111111,0.200091111111111,24,NA,365.0,45.0,2.373147,NA,NA,NA,NA,58
0.0157425925925926,0.0206425925925926,24,NA,362.0,54.0,7.080365,NA,NA,NA,NA,59
0.0718259259259259,0.0748407407407407,24,NA,348.0,54.0,2.142062,NA,NA,NA,NA,60
0.0380826666666667,0.0413173333333333,24,NA,360.0,75.0,1.996216,NA,NA,NA,NA,61
0.10581,0.10835,24,NA,319.0,50.0,2.230483,NA,NA,NA,NA,62
0.208645945945946,0.208645945945946,24,NA,377.0,74.0,2.53764,NA,NA,NA,NA,63
0.116762745098039,0.118888235294118,24,NA,347.0,51.0,2.396404,NA,NA,NA,NA,64
0.290314634146341,0.290343902439024,24,NA,373.0,82.0,2.950445,NA,NA,NA,NA,65
0.0496555555555555,0.0510055555555555,24,NA,350.0,36.0,2.001105,NA,NA,NA,NA,66
0.324337735849057,0.32441320754717,24,NA,331.0,53.0,1.963302,NA,NA,NA,NA,67
0.26348679245283,0.26348679245283,24,NA,325.0,53.0,2.128183,NA,NA,NA,NA,68
0.0174166666666667,0.0299227272727273,24,NA,362.0,66.0,2.45149,NA,NA,NA,NA,69
0.434615384615385,0.434615384615385,24,NA,358.0,65.0,2.054314,NA,NA,NA,NA,70
0.0581472727272727,0.0628781818181818,24,NA,353.0,55.0,2.587435,NA,NA,NA,NA,71
0.118166197183099,0.118847887323944,24,NA,368.0,71.0,2.417153,NA,NA,NA,NA,72
